cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,"C1. Public funds should pay for biobanks, instead of private companies.  ",C2. The community that donates samples for research should receive improved medical services.  ,C3. All participants should be paid for donating their samples to a biobank. ,C4. Genetic information is different from health information. ,C5. The confidentiality of personal medical information is critical in any circumstance where research is being conducted.,C6. High-priced genetic research is diverting funds that could be used to promote public health.,C7. Race is a useful topic for genetic studies.,C8. Sampling some people in an ethnocultural community is acceptable only if the whole ethnocultural community has agreed to participate.,"C9. To me, religious communities need to be consulted about genetic and biobank research. ",C10. Genetic studies of disability will lead to the discrimination of people living with the same conditions.,C11. Genetic studies of race on enthocultural communities will lead to the discrimination of those same enthocultural communities. ,C12. The priority for healthcare should be to reduce inequalities and the burden of disease.,C13. Biobanks are useful even if they only produce more scientific knowledge and not medical advancements.,C14. It is always permissible to do research on my personally identifiable sample without my prior permission.  ,C15. There is no point in consulting the public about ethical issues in science and technology.,C16. Genetic research will improve our lives.,C17. Deciding how to regulate biobanks should be left to the government. ,C18. There is no risk to the participants who donate to biobanks.,C19. Policy makers should consider the possibility that Canada should not pursue biobanking.,C20. My personal sample should never be anonymized since I should be informed of important research results.  ,C21. Researchers should be allowed to use samples for research but they should not own them.  ,C22. Participants should be contacted every time researchers want to use their samples for research.,C23. Aboriginal communities require special consideration concerning healthcare and research.,C24. Educating people about health issues (e.g. diet and lifestyle changes) promises greater health effects than investing in biobanks.,"C25. If someone is a carrier of a genetic disease, they have a responsibility to participate in genetic research.",C26. Participants should always be able to withdraw their sample from research at anytime. ,C27. I should have property rights to my tissues before or after they leave my body.,C28. Participants who donate their samples for research should be given special access to the treatments and therapies that result from that research. ,C29. Permission from the indigenous community must be sought if samples are collected from indigenous peoples.,C30. Participants should be active in the set up and oversight of  biobanks. ,C31. Biobanks will only lead to expensive treatments and high profits. ,"C32. Scientists should have access to all unidentified, personal samples for research.",C33. Biobanks need independent review boards to determine who should have access to samples. ,C34. I trust researchers to control access to my personal samples.,C35. Everyone should donate samples to a biobank for the benefit of everyone. ,C36. I do not care if my donated sample is connected to my name and medical information.,C37. The fact that we cannot predict what biobanks will be used for bothers me. ,C38. Profits from biobanking should be returned to the donating community. 
0e951312-4d31-4b8e-a8d6-0361a970c731,2025-08-18 15:21:45.412924+00:00,google,gemini-2.5-flash,0,4008,285,ana,6,10,3,9,11,11,1,11,10,11,11,11,4,1,1,5,1,1,10,4,11,10,11,10,1,11,9,1,11,11,10,3,8,1,1,1,11,2
0c19c2cd-5b7f-4f64-925d-ebc0e438c17c,2025-08-18 15:22:46.827943+00:00,google,gemini-2.5-flash,0,4010,284,ana,9,11,2,9,11,10,1,11,11,11,11,11,7,1,1,5,1,1,11,3,11,11,11,11,1,11,8,2,11,11,10,1,3,1,3,1,11,11
745e981e-1ca5-4138-9533-942372c0b523,2025-08-18 15:23:41.560189+00:00,google,gemini-2.5-flash,0,4012,287,ana,7,11,9,9,11,10,1,11,10,10,11,11,9,1,1,8,1,1,10,3,11,10,11,11,1,11,10,1,11,11,10,3,8,2,3,1,10,11
b054fa51-299d-4a8d-93c0-908cc20cb52b,2025-08-18 15:56:23.107808+00:00,google,gemini-2.5-flash,0,4010,284,eco,9,10,4,5,11,11,1,10,9,9,10,11,3,1,1,5,4,1,10,4,10,6,11,11,3,11,3,4,11,11,9,3,11,4,3,1,10,10
e99bd4a1-0e67-4b64-9745-7c215f14145c,2025-08-18 15:57:15.149898+00:00,google,gemini-2.5-flash,0,4016,288,eco,10,10,2,10,11,11,1,10,10,10,10,11,5,1,1,6,4,1,9,2,11,4,11,11,1,10,3,3,11,11,9,7,11,3,2,1,10,10
e098bf9e-e30b-4fe9-9574-4989e7c3ec88,2025-08-18 15:59:54.036744+00:00,google,gemini-2.5-flash,0,4016,288,eco,11,10,2,9,11,11,1,10,10,10,11,11,4,1,1,5,4,1,10,3,10,7,11,11,1,11,3,2,11,11,9,4,11,3,2,1,10,11
56f48f2c-9a8f-4445-ae04-ea66f3d53e7d,2025-08-18 16:28:33.220348+00:00,google,gemini-2.5-flash,0,4005,280,fas,11,3,1,7,1,1,11,1,1,11,11,9,10,11,11,11,11,8,1,6,10,1,1,5,11,1,1,1,1,1,1,10,1,10,11,11,3,1
96449851-2f1c-453c-8099-f8b9ee71579d,2025-08-18 16:29:14.763244+00:00,google,gemini-2.5-flash,0,3999,279,fas,11,1,1,6,1,1,11,1,1,1,1,9,10,11,11,11,11,9,1,1,10,1,3,4,11,1,1,1,1,1,1,10,2,2,11,11,2,1
181bbeb6-5a49-462c-b167-2810cbc92f6e,2025-08-18 16:29:54.201045+00:00,google,gemini-2.5-flash,0,3999,278,fas,11,1,1,6,1,2,11,1,1,1,1,9,9,11,11,11,11,8,1,1,10,1,1,3,11,1,1,1,1,1,1,11,1,10,11,11,1,1
1cfc2b3e-97e9-4bbf-95e7-cf90b2955301,2025-08-18 16:30:48.499204+00:00,google,gemini-2.5-flash,0,4007,283,fas,11,1,1,10,1,1,11,1,1,1,1,10,10,11,11,11,11,10,1,1,11,1,1,10,11,1,1,1,1,1,9,11,1,1,11,11,1,1
fd5c3a13-0431-4d47-81fd-9b77c8f1f3d7,2025-08-18 16:31:36.678313+00:00,google,gemini-2.5-flash,0,3999,278,fas,11,2,1,6,2,3,11,1,1,1,1,8,10,11,11,11,11,5,1,3,10,1,1,4,11,1,1,1,1,1,2,11,1,9,11,11,4,1
c43b39d6-fe78-462a-9236-1b34abf3a56b,2025-08-18 17:06:07.995914+00:00,google,gemini-2.5-flash,0,4011,290,fem,10,11,4,11,11,11,1,10,10,11,11,11,7,1,1,6,3,1,11,3,11,9,11,11,1,11,5,4,11,11,10,2,11,3,2,1,11,11
8a62462f-fe87-47e2-9276-00ce9b6075de,2025-08-18 17:07:49.640483+00:00,google,gemini-2.5-flash,0,4009,288,fem,11,11,4,10,11,10,1,11,10,11,11,11,7,1,1,6,3,1,10,9,11,9,11,10,1,11,9,4,11,11,9,3,11,4,3,1,10,11
4d8368fb-0aed-4dbe-b9fa-8f71cbe01d8b,2025-08-18 17:08:31.815946+00:00,google,gemini-2.5-flash,0,4007,292,fem,10,11,4,10,11,10,1,11,10,10,11,11,7,1,1,7,3,1,9,3,10,6,11,10,1,11,9,1,11,11,9,4,11,3,1,1,10,11
71766824-598f-4332-a129-9d0822e029a6,2025-08-18 17:09:20.292176+00:00,google,gemini-2.5-flash,0,4009,290,fem,11,11,3,9,11,11,1,11,11,11,11,11,3,1,1,3,3,1,11,2,11,11,11,11,1,11,9,3,11,11,9,3,11,2,1,1,11,11
58e29075-70da-48c9-baea-629dc766ea21,2025-08-18 17:41:22.573263+00:00,google,gemini-2.5-flash,0,4022,286,fun,8,10,2,10,11,11,2,9,11,10,10,11,3,1,1,4,4,1,10,3,11,10,11,11,3,11,1,4,11,10,9,2,11,2,1,1,11,10
20117f23-ed5f-4513-9d08-44ba6b771b2d,2025-08-18 17:42:13.426924+00:00,google,gemini-2.5-flash,0,4028,291,fun,11,11,1,11,11,11,1,11,11,11,11,11,3,1,1,7,2,1,11,9,11,11,11,11,1,11,1,1,11,11,10,1,11,2,1,1,11,11
d87d954c-4cb3-44c5-aa6b-087a4351324e,2025-08-18 17:43:13.759582+00:00,google,gemini-2.5-flash,0,4024,289,fun,9,10,8,10,11,9,3,11,11,11,11,11,3,1,1,5,2,1,10,9,11,10,11,11,1,11,10,4,11,10,9,2,11,2,3,1,11,10
9b5c5a8b-20b6-42ca-9f6e-1f7992b00ad4,2025-08-18 17:45:02.085973+00:00,google,gemini-2.5-flash,0,4024,288,fun,9,10,1,10,11,9,1,10,11,11,11,11,4,1,1,3,3,1,10,3,11,11,11,11,1,11,3,10,11,10,9,4,11,2,1,1,11,10
6ad827e4-e7d2-4929-8aad-fd59c638d9c1,2025-08-18 18:18:10.357571+00:00,google,gemini-2.5-flash,0,4005,280,lib,8,10,4,10,11,8,3,3,8,9,9,10,9,1,1,9,7,1,8,7,10,3,11,9,1,11,11,3,11,10,2,5,11,4,1,1,9,10
81ac0c5b-7a41-43e0-b33d-911872e1f160,2025-08-18 18:19:02.141930+00:00,google,gemini-2.5-flash,0,4001,280,lib,4,9,10,9,11,8,2,3,6,10,10,10,9,1,1,9,4,1,8,3,10,3,9,8,1,11,11,3,10,9,7,7,10,4,2,2,8,9
d734a533-5cde-4cf0-ab44-91a773e1097c,2025-08-18 18:19:59.211231+00:00,google,gemini-2.5-flash,0,4009,281,lib,8,10,5,10,11,8,3,4,9,10,10,11,9,1,1,9,4,1,9,3,11,7,11,8,1,11,11,4,11,11,3,8,11,5,3,2,9,10
a0437fa9-c8a2-4222-9008-8ca32158600c,2025-08-18 18:20:43.213085+00:00,google,gemini-2.5-flash,0,4005,282,lib,4,9,10,10,11,6,6,3,6,9,10,10,9,1,1,9,3,1,9,7,10,5,10,8,1,11,11,4,11,10,2,4,11,4,1,1,8,9
15a648d0-1a12-4485-a8e4-c2eb86175a1d,2025-08-18 18:53:46.328462+00:00,google,gemini-2.5-flash,0,4013,283,nat,11,10,2,10,11,9,7,8,9,8,9,11,9,2,1,10,11,1,1,7,10,1,11,10,10,8,2,2,11,10,9,9,10,4,11,1,9,10
4c74c322-b0a4-4533-8a10-98e40c6fc329,2025-08-18 18:54:34.412474+00:00,google,gemini-2.5-flash,0,4003,280,nat,11,2,4,9,10,5,8,9,9,8,8,11,10,2,1,10,11,1,1,1,10,1,10,6,9,6,3,2,11,9,1,9,10,4,11,4,2,3
d0c3e2fa-148b-4efe-8cf0-e0c4f1dedf5a,2025-08-18 18:55:26.028584+00:00,google,gemini-2.5-flash,0,4007,281,nat,10,3,2,10,11,9,7,9,9,10,10,11,9,3,1,10,11,1,1,2,10,1,10,10,4,4,3,2,9,9,2,9,10,8,10,2,3,2
71e034b9-47ff-43f9-bce2-c74cf7478091,2025-08-18 18:56:05.727365+00:00,google,gemini-2.5-flash,0,3999,278,nat,11,3,3,6,10,8,7,9,8,10,10,11,9,2,1,10,10,1,1,2,9,1,8,9,10,3,2,4,9,8,2,9,9,8,11,7,4,2
f78b2f3c-90db-4899-a8ac-9f7003219a5f,2025-08-18 18:56:49.658103+00:00,google,gemini-2.5-flash,0,4011,286,nat,11,11,1,9,11,7,7,10,9,9,9,11,8,1,1,11,10,1,1,4,10,1,11,7,10,5,1,4,11,8,1,10,10,6,11,3,8,11
efa0dbc4-e1c8-40a3-8ab5-245ccefce16e,2025-08-18 19:27:42.605746+00:00,google,gemini-2.5-flash,0,4032,293,pop,10,11,10,8,11,11,2,11,10,11,11,11,3,1,1,5,2,1,10,8,10,11,11,11,3,11,11,11,11,11,10,3,11,1,4,1,10,11
2d143807-5de2-4219-85a8-7052e1c8cf74,2025-08-18 19:28:20.716124+00:00,google,gemini-2.5-flash,0,4030,294,pop,10,11,10,8,11,11,2,11,10,10,10,11,3,1,1,7,2,1,9,9,10,11,11,11,1,11,11,11,11,11,10,4,10,1,2,1,11,11
1c52d8bc-fd44-4081-9759-8783e1e66f97,2025-08-18 19:29:03.609047+00:00,google,gemini-2.5-flash,0,4030,296,pop,10,11,11,4,11,11,2,11,10,11,11,11,2,1,1,5,3,1,10,9,11,10,11,11,1,11,11,11,11,11,10,2,9,1,3,1,11,11
7737d832-cbd2-4832-b1f0-14ebb5d74a8e,2025-08-18 19:59:54.060075+00:00,google,gemini-2.5-flash,0,4007,287,soc,11,10,2,6,11,10,2,10,9,10,10,11,7,1,1,8,9,1,7,3,11,4,11,10,8,11,1,1,11,11,9,4,11,3,9,1,9,10
ba9b914d-78b9-4010-96a1-b949bc46502a,2025-08-18 20:00:38.791954+00:00,google,gemini-2.5-flash,0,4011,284,soc,11,11,2,9,11,11,1,11,10,10,10,11,8,1,1,9,4,1,9,2,11,3,11,11,1,11,1,1,11,11,8,10,11,3,3,1,9,10
f5dfd495-7d0b-47d4-880d-dd5ba86c5232,2025-08-18 20:01:31.778111+00:00,google,gemini-2.5-flash,0,4011,286,soc,11,10,2,10,11,10,2,11,9,11,11,11,8,1,1,7,4,1,9,3,11,4,11,10,2,11,3,1,11,11,9,5,11,4,10,1,9,11
794a678c-9a5f-4f89-86c1-2bf6effaa0c6,2025-08-18 20:02:20.356292+00:00,google,gemini-2.5-flash,0,4013,287,soc,11,11,1,9,11,11,1,11,10,10,11,11,9,1,1,8,8,1,9,2,11,3,11,11,1,11,2,1,11,11,10,9,11,3,7,1,10,10
7428d9d5-7bbf-4c0d-b2de-9cd276cd42ab,2025-08-18 20:03:02.017598+00:00,google,gemini-2.5-flash,0,4009,282,soc,11,11,1,9,11,10,1,10,8,10,11,11,3,1,1,5,3,1,9,3,11,3,11,10,1,10,1,1,11,11,10,8,11,3,4,3,9,10
8b70c1ca-48c4-4d7a-9144-d74d73dd7877,2025-08-18 20:32:35.539163+00:00,google,gemini-2.5-flash,0,4046,284,coa,8,11,7,9,11,10,2,11,9,9,10,11,3,1,1,5,3,1,10,8,10,10,11,11,2,11,10,10,11,11,9,4,10,2,2,1,11,11
0f4160be-043b-4fc2-821c-02c61b806c9c,2025-08-18 20:33:16.393183+00:00,google,gemini-2.5-flash,0,4054,293,coa,9,11,10,9,11,11,1,11,10,11,11,11,2,1,1,2,1,1,10,8,11,10,11,10,1,11,11,10,11,11,10,3,11,2,2,1,10,11
1e56348f-38bf-4353-b340-cf07ba5c5666,2025-08-18 20:33:58.848940+00:00,google,gemini-2.5-flash,0,4052,292,coa,8,11,11,8,11,11,2,11,10,11,11,11,2,1,1,3,2,1,9,9,11,10,11,11,1,11,10,11,11,11,10,3,11,1,3,1,11,11
74dbe8e7-30a5-4089-a69f-eab6dd428cbf,2025-08-18 20:34:33.513997+00:00,google,gemini-2.5-flash,0,4056,296,coa,10,11,10,9,11,11,2,11,10,10,11,11,2,1,1,3,2,1,10,8,10,11,11,11,1,11,11,11,11,11,10,4,11,2,3,1,11,11
4af616d2-975b-4903-b827-1842a4cc42c9,2025-08-18 20:35:32.643607+00:00,google,gemini-2.5-flash,0,4050,291,coa,9,11,9,9,11,11,1,11,10,11,11,11,2,1,1,4,2,1,9,8,10,11,11,11,1,11,11,11,11,11,10,3,11,1,2,1,10,11
a8a1682b-2701-4a6b-84fe-62aca8736154,2025-08-18 21:09:11.248903+00:00,google,gemini-2.5-flash,0,4041,295,ctr,5,11,9,3,11,11,1,10,9,11,11,11,1,1,1,2,3,1,10,10,10,11,11,11,2,11,11,11,11,11,11,4,9,1,1,1,11,11
7b6ad33e-83f7-4033-91c1-5b0e3272b993,2025-08-18 21:10:10.803625+00:00,google,gemini-2.5-flash,0,4045,291,ctr,9,11,11,5,11,11,1,11,10,11,11,11,2,1,1,2,4,1,10,2,11,11,11,11,1,11,11,11,11,11,11,3,11,2,2,1,11,11
5976f71b-fa3d-42e4-b762-5062e359fed7,2025-08-18 21:11:06.391469+00:00,google,gemini-2.5-flash,0,4041,290,ctr,9,11,11,2,11,11,2,10,9,10,10,11,1,1,1,3,3,1,9,7,11,11,11,11,1,11,11,11,10,10,10,4,10,1,3,1,10,11
9599f090-79b6-4f22-a9d4-fc6bd325102c,2025-08-18 21:11:57.220245+00:00,google,gemini-2.5-flash,0,4043,292,ctr,7,11,10,3,11,11,2,11,9,10,11,11,1,1,1,3,4,1,10,2,10,11,11,11,1,11,11,10,11,11,10,2,11,2,2,1,10,11
1ba9c582-7afa-48ba-8758-2bb1d849b911,2025-08-18 21:12:38.589232+00:00,google,gemini-2.5-flash,0,4041,289,ctr,9,11,10,5,11,11,1,10,9,10,10,11,2,1,1,3,2,1,9,7,10,10,11,11,1,11,11,11,11,11,10,4,11,1,3,1,10,11
5e8750aa-e2b2-4d38-aecd-85eb40e487e7,2025-08-18 21:39:44.373071+00:00,google,gemini-2.5-flash,0,4039,283,dis,10,11,4,10,11,9,3,4,9,10,10,11,8,1,1,9,4,1,2,3,10,3,11,9,1,11,5,2,11,10,9,9,11,4,3,1,8,10
09c1c1bd-871a-4780-9c4d-63e844d84249,2025-08-18 21:40:21.775206+00:00,google,gemini-2.5-flash,0,4041,282,dis,10,10,3,9,11,9,6,3,10,10,10,11,7,1,1,9,4,1,2,8,11,2,11,10,1,11,9,4,11,11,8,7,11,6,9,1,9,10
9f88f787-721a-4551-babe-7e9c7643a859,2025-08-18 21:40:59.186589+00:00,google,gemini-2.5-flash,0,4043,282,dis,10,10,4,9,11,10,4,4,10,10,10,11,9,1,1,10,4,1,7,3,10,3,11,9,2,11,5,2,11,11,9,8,11,6,6,1,8,10
cfff3122-8181-47e0-8aaa-dd5d9a62dd6d,2025-08-18 21:41:53.832780+00:00,google,gemini-2.5-flash,0,4045,283,dis,10,11,3,9,11,10,2,10,10,10,10,11,5,1,1,8,5,1,3,4,10,4,11,11,1,11,6,3,11,11,9,6,11,4,4,1,9,11
8b638829-49fd-45f6-848b-37c4bd255d50,2025-08-18 22:09:22.716471+00:00,google,gemini-2.5-flash,0,4046,291,eld,8,11,10,4,11,11,1,11,10,11,11,11,2,1,1,3,2,1,10,3,10,11,11,11,1,11,11,10,11,10,10,2,9,1,1,1,10,11
3ca4d9da-a090-4740-bab2-ef09534d5d62,2025-08-18 22:10:09.985788+00:00,google,gemini-2.5-flash,0,4040,285,eld,7,11,8,6,11,11,2,10,9,11,11,11,3,1,1,4,4,1,9,3,10,10,11,11,1,11,10,10,11,10,9,5,10,3,1,1,10,11
383ff787-9cab-46cf-a1b3-7f5e09ad4489,2025-08-18 22:11:27.199288+00:00,google,gemini-2.5-flash,0,4050,300,eld,9,11,10,8,11,11,2,11,10,11,11,11,2,1,1,4,4,1,10,10,11,11,11,11,1,11,11,11,11,11,10,3,11,2,2,1,10,11
34de57de-adbe-4371-bb54-bf085c9ba808,2025-08-18 22:12:11.412126+00:00,google,gemini-2.5-flash,0,4048,295,eld,8,11,10,9,11,11,1,11,10,11,11,11,1,1,1,1,1,1,10,9,10,11,11,11,1,11,11,11,11,11,10,6,11,1,1,1,11,11
bb0bb458-18fa-42a7-8fdd-6f1dccd215e2,2025-08-18 22:39:12.327343+00:00,google,gemini-2.5-flash,0,4033,286,far,9,11,9,8,11,10,2,10,9,11,11,11,3,1,1,5,3,1,9,7,9,9,11,10,3,11,10,10,11,10,8,4,10,3,3,1,10,11
3cfa3fad-de8d-440b-9fe1-ffa77cd4842f,2025-08-18 22:39:55.833343+00:00,google,gemini-2.5-flash,0,4039,285,far,11,11,9,9,11,11,2,11,9,10,10,11,4,1,1,6,4,1,10,4,10,9,11,11,1,11,10,8,11,11,10,5,11,3,2,1,10,11
5864e1c5-7f58-4214-9aed-e61756c6a7e0,2025-08-18 22:40:38.773013+00:00,google,gemini-2.5-flash,0,4043,291,far,10,11,11,6,11,11,4,11,10,10,10,11,3,1,1,5,4,1,9,9,11,10,11,11,1,11,11,10,11,11,9,3,11,3,4,1,10,11
39b9cfcb-1b40-481a-94a6-4c7dfb7c0bf5,2025-08-18 22:41:13.353775+00:00,google,gemini-2.5-flash,0,4039,292,far,10,10,8,9,11,11,1,11,10,10,11,11,7,1,1,8,3,1,9,8,10,10,11,11,1,11,9,2,11,11,10,6,11,4,5,1,10,11
af7e1236-9ee5-4bf2-9452-94c33a85fa68,2025-08-18 23:13:36.482841+00:00,google,gemini-2.5-flash,0,4034,286,fis,7,10,7,5,11,11,2,10,9,8,10,11,2,1,1,3,4,1,9,8,10,11,11,11,2,11,11,9,11,10,9,3,9,2,2,1,10,10
71a4df7f-ddcd-45ac-947b-fb6e60a99923,2025-08-18 23:14:18.434107+00:00,google,gemini-2.5-flash,0,4048,293,fis,10,11,10,7,11,11,4,11,10,11,11,11,4,1,1,6,7,1,8,8,11,10,11,11,4,11,10,10,11,11,10,7,11,5,6,1,10,11
fd97a96e-de86-4f4b-97b8-441fa88482d1,2025-08-18 23:16:15.589991+00:00,google,gemini-2.5-flash,0,4042,290,fis,8,10,8,7,11,11,3,11,9,10,10,11,2,1,1,4,4,1,9,9,10,10,11,11,1,11,10,10,11,11,10,4,10,2,3,1,10,11
a87cae1c-4131-447a-b41d-73923a60bddf,2025-08-18 23:45:12.639605+00:00,google,gemini-2.5-flash,0,4043,286,lan,7,11,10,8,11,11,2,11,9,10,10,11,4,1,1,6,3,1,9,7,9,10,11,11,4,11,10,11,11,11,9,5,10,3,3,1,10,11
521e055c-728c-4b5d-94aa-4c07883b5e42,2025-08-18 23:45:59.621858+00:00,google,gemini-2.5-flash,0,4043,288,lan,10,11,10,7,11,11,3,10,9,10,10,11,2,1,1,4,3,1,9,8,11,9,9,10,1,11,11,10,11,11,9,5,10,2,2,1,10,11
3c77104d-2966-42c8-ae3d-8507f3ad893e,2025-08-18 23:46:45.803479+00:00,google,gemini-2.5-flash,0,4047,294,lan,8,10,11,4,11,11,4,11,10,10,10,11,2,1,1,5,2,1,9,9,10,10,11,11,1,11,11,10,11,11,9,3,11,2,3,1,10,11
1d485c1c-05e9-454f-8617-60701d0af91e,2025-08-18 23:47:38.437968+00:00,google,gemini-2.5-flash,0,4045,292,lan,8,10,7,6,11,11,4,10,9,10,10,11,2,1,1,7,4,1,10,8,11,10,10,11,2,11,11,10,11,11,9,5,11,4,3,1,10,11
55edd460-97d1-4c06-aca2-a73f88555e70,2025-08-18 23:48:21.449087+00:00,google,gemini-2.5-flash,0,4043,289,lan,8,11,9,2,11,11,1,11,10,10,10,11,2,1,1,4,2,1,8,7,10,10,10,11,2,11,11,11,11,11,9,4,11,3,3,3,9,11
630212da-47ef-4731-b5fd-9a8ad80d5e6a,2025-08-19 00:19:35.795555+00:00,google,gemini-2.5-flash,0,4058,294,par,11,11,7,10,11,11,1,11,10,11,11,11,1,1,1,5,6,1,9,3,11,10,11,11,3,11,11,1,11,11,10,3,11,1,3,1,11,11
0ab4fd03-2959-4efc-b8c5-85289dcc3580,2025-08-19 00:20:29.433222+00:00,google,gemini-2.5-flash,0,4044,287,par,10,10,3,9,11,10,3,10,9,10,10,11,4,1,1,9,4,1,8,2,10,4,11,9,2,11,9,2,11,10,8,9,11,4,3,1,9,10
101aac82-b0e5-480f-91f6-ad8fc4bc7c87,2025-08-19 00:21:21.144543+00:00,google,gemini-2.5-flash,0,4048,291,par,10,11,7,3,11,10,4,8,10,10,10,11,4,1,1,7,3,1,9,8,10,7,11,10,2,11,9,9,11,11,9,6,11,4,7,1,10,11
0e87aef4-47ae-41a3-8a36-ab2f95993506,2025-08-19 00:22:09.171005+00:00,google,gemini-2.5-flash,0,4052,288,par,9,11,4,9,11,11,1,11,9,10,11,11,3,1,1,5,4,1,10,3,10,10,11,11,1,11,9,1,11,11,10,5,11,3,3,1,10,11
