cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,"P1. Use of stored data and biological samples for research requires approval by an appropriate governing body (e.g., research ethics board), regardless of whether the individual is identifiable.","P2. Regardless of privacy and oversight, it is most important to prevent discrimination (e.g., through insurance, social attitudes) that might result from research on collections of data and biological samples.","P3. Use of stored data and biological samples for research requires approval by an appropriate governing body (e.g., research ethics board), ONLY when the individual is identifiable.",P4. Use of stored data and biological samples for research requires authorization from individuals only when they are identifiable AND approval by an appropriate governing body (e.g. research ethics board) when they are not identifiable.,P5. Use of stored data and biological samples for research requires authorization from individuals ONLY when the individual is identifiable.,"P6. Regardless of privacy and oversight, it is most important to ensure benefits to society or the community (e.g., geographical, ethno-cultural) participating in a collection of data and biological samples.","P7. Every use of stored data and biological samples for research requires the authorization of individuals, even if the use does not identify the individual."
58e29075-70da-48c9-baea-629dc766ea21,2025-08-18 17:41:22.573263+00:00,google,gemini-2.5-flash,0,4022,286,fun,3,7,4,2,5,6,1
20117f23-ed5f-4513-9d08-44ba6b771b2d,2025-08-18 17:42:13.426924+00:00,google,gemini-2.5-flash,0,4028,291,fun,4,3,7,6,1,5,2
d87d954c-4cb3-44c5-aa6b-087a4351324e,2025-08-18 17:43:13.759582+00:00,google,gemini-2.5-flash,0,4024,289,fun,3,6,5,4,1,7,2
9b5c5a8b-20b6-42ca-9f6e-1f7992b00ad4,2025-08-18 17:45:02.085973+00:00,google,gemini-2.5-flash,0,4024,288,fun,3,5,4,2,7,6,1
6ad827e4-e7d2-4929-8aad-fd59c638d9c1,2025-08-18 18:18:10.357571+00:00,google,gemini-2.5-flash,0,4005,280,lib,2,7,5,3,6,1,4
81ac0c5b-7a41-43e0-b33d-911872e1f160,2025-08-18 18:19:02.141930+00:00,google,gemini-2.5-flash,0,4001,280,lib,1,4,3,5,2,7,6
d734a533-5cde-4cf0-ab44-91a773e1097c,2025-08-18 18:19:59.211231+00:00,google,gemini-2.5-flash,0,4009,281,lib,4,3,5,2,1,7,6
a0437fa9-c8a2-4222-9008-8ca32158600c,2025-08-18 18:20:43.213085+00:00,google,gemini-2.5-flash,0,4005,282,lib,3,6,2,7,1,5,4
15a648d0-1a12-4485-a8e4-c2eb86175a1d,2025-08-18 18:53:46.328462+00:00,google,gemini-2.5-flash,0,4013,283,nat,3,2,6,4,5,1,7
4c74c322-b0a4-4533-8a10-98e40c6fc329,2025-08-18 18:54:34.412474+00:00,google,gemini-2.5-flash,0,4003,280,nat,6,2,1,4,5,3,7
d0c3e2fa-148b-4efe-8cf0-e0c4f1dedf5a,2025-08-18 18:55:26.028584+00:00,google,gemini-2.5-flash,0,4007,281,nat,2,5,6,3,4,1,7
71e034b9-47ff-43f9-bce2-c74cf7478091,2025-08-18 18:56:05.727365+00:00,google,gemini-2.5-flash,0,3999,278,nat,2,3,5,4,6,1,7
f78b2f3c-90db-4899-a8ac-9f7003219a5f,2025-08-18 18:56:49.658103+00:00,google,gemini-2.5-flash,0,4011,286,nat,3,6,1,5,2,4,7
efa0dbc4-e1c8-40a3-8ab5-245ccefce16e,2025-08-18 19:27:42.605746+00:00,google,gemini-2.5-flash,0,4032,293,pop,7,1,5,4,6,2,3
2d143807-5de2-4219-85a8-7052e1c8cf74,2025-08-18 19:28:20.716124+00:00,google,gemini-2.5-flash,0,4030,294,pop,1,3,7,5,6,4,2
1c52d8bc-fd44-4081-9759-8783e1e66f97,2025-08-18 19:29:03.609047+00:00,google,gemini-2.5-flash,0,4030,296,pop,4,2,7,6,1,3,5
7737d832-cbd2-4832-b1f0-14ebb5d74a8e,2025-08-18 19:59:54.060075+00:00,google,gemini-2.5-flash,0,4007,287,soc,2,4,6,3,7,1,5
ba9b914d-78b9-4010-96a1-b949bc46502a,2025-08-18 20:00:38.791954+00:00,google,gemini-2.5-flash,0,4011,284,soc,5,2,1,3,6,4,7
f5dfd495-7d0b-47d4-880d-dd5ba86c5232,2025-08-18 20:01:31.778111+00:00,google,gemini-2.5-flash,0,4011,286,soc,3,1,6,2,5,4,7
794a678c-9a5f-4f89-86c1-2bf6effaa0c6,2025-08-18 20:02:20.356292+00:00,google,gemini-2.5-flash,0,4013,287,soc,3,2,6,4,5,1,7
7428d9d5-7bbf-4c0d-b2de-9cd276cd42ab,2025-08-18 20:03:02.017598+00:00,google,gemini-2.5-flash,0,4009,282,soc,3,4,6,5,1,2,7
8b70c1ca-48c4-4d7a-9144-d74d73dd7877,2025-08-18 20:32:35.539163+00:00,google,gemini-2.5-flash,0,4046,284,coa,3,5,6,4,7,1,2
0f4160be-043b-4fc2-821c-02c61b806c9c,2025-08-18 20:33:16.393183+00:00,google,gemini-2.5-flash,0,4054,293,coa,1,4,7,3,6,5,2
1e56348f-38bf-4353-b340-cf07ba5c5666,2025-08-18 20:33:58.848940+00:00,google,gemini-2.5-flash,0,4052,292,coa,5,1,7,4,6,2,3
74dbe8e7-30a5-4089-a69f-eab6dd428cbf,2025-08-18 20:34:33.513997+00:00,google,gemini-2.5-flash,0,4056,296,coa,6,3,7,2,4,5,1
4af616d2-975b-4903-b827-1842a4cc42c9,2025-08-18 20:35:32.643607+00:00,google,gemini-2.5-flash,0,4050,291,coa,3,2,7,5,1,4,6
a8a1682b-2701-4a6b-84fe-62aca8736154,2025-08-18 21:09:11.248903+00:00,google,gemini-2.5-flash,0,4041,295,ctr,2,7,4,3,5,6,1
7b6ad33e-83f7-4033-91c1-5b0e3272b993,2025-08-18 21:10:10.803625+00:00,google,gemini-2.5-flash,0,4045,291,ctr,1,2,7,5,6,4,3
5976f71b-fa3d-42e4-b762-5062e359fed7,2025-08-18 21:11:06.391469+00:00,google,gemini-2.5-flash,0,4041,290,ctr,5,6,7,4,2,3,1
9599f090-79b6-4f22-a9d4-fc6bd325102c,2025-08-18 21:11:57.220245+00:00,google,gemini-2.5-flash,0,4043,292,ctr,5,2,6,4,7,1,3
1ba9c582-7afa-48ba-8758-2bb1d849b911,2025-08-18 21:12:38.589232+00:00,google,gemini-2.5-flash,0,4041,289,ctr,7,1,6,5,4,2,3
5e8750aa-e2b2-4d38-aecd-85eb40e487e7,2025-08-18 21:39:44.373071+00:00,google,gemini-2.5-flash,0,4039,283,dis,1,4,6,2,5,3,7
09c1c1bd-871a-4780-9c4d-63e844d84249,2025-08-18 21:40:21.775206+00:00,google,gemini-2.5-flash,0,4041,282,dis,4,5,6,3,1,2,7
9f88f787-721a-4551-babe-7e9c7643a859,2025-08-18 21:40:59.186589+00:00,google,gemini-2.5-flash,0,4043,282,dis,2,3,6,4,7,1,5
cfff3122-8181-47e0-8aaa-dd5d9a62dd6d,2025-08-18 21:41:53.832780+00:00,google,gemini-2.5-flash,0,4045,283,dis,6,3,1,5,4,2,7
8b638829-49fd-45f6-848b-37c4bd255d50,2025-08-18 22:09:22.716471+00:00,google,gemini-2.5-flash,0,4046,291,eld,4,2,6,3,7,5,1
3ca4d9da-a090-4740-bab2-ef09534d5d62,2025-08-18 22:10:09.985788+00:00,google,gemini-2.5-flash,0,4040,285,eld,1,3,7,5,6,4,2
383ff787-9cab-46cf-a1b3-7f5e09ad4489,2025-08-18 22:11:27.199288+00:00,google,gemini-2.5-flash,0,4050,300,eld,2,3,5,4,7,6,1
34de57de-adbe-4371-bb54-bf085c9ba808,2025-08-18 22:12:11.412126+00:00,google,gemini-2.5-flash,0,4048,295,eld,2,7,5,3,1,6,4
bb0bb458-18fa-42a7-8fdd-6f1dccd215e2,2025-08-18 22:39:12.327343+00:00,google,gemini-2.5-flash,0,4033,286,far,5,2,4,1,3,7,6
3cfa3fad-de8d-440b-9fe1-ffa77cd4842f,2025-08-18 22:39:55.833343+00:00,google,gemini-2.5-flash,0,4039,285,far,1,4,6,5,7,3,2
5864e1c5-7f58-4214-9aed-e61756c6a7e0,2025-08-18 22:40:38.773013+00:00,google,gemini-2.5-flash,0,4043,291,far,4,2,7,5,6,1,3
39b9cfcb-1b40-481a-94a6-4c7dfb7c0bf5,2025-08-18 22:41:13.353775+00:00,google,gemini-2.5-flash,0,4039,292,far,2,6,4,5,7,1,3
af7e1236-9ee5-4bf2-9452-94c33a85fa68,2025-08-18 23:13:36.482841+00:00,google,gemini-2.5-flash,0,4034,286,fis,5,1,6,4,7,3,2
71a4df7f-ddcd-45ac-947b-fb6e60a99923,2025-08-18 23:14:18.434107+00:00,google,gemini-2.5-flash,0,4048,293,fis,4,6,7,2,1,3,5
fd97a96e-de86-4f4b-97b8-441fa88482d1,2025-08-18 23:16:15.589991+00:00,google,gemini-2.5-flash,0,4042,290,fis,3,4,6,5,7,1,2
a87cae1c-4131-447a-b41d-73923a60bddf,2025-08-18 23:45:12.639605+00:00,google,gemini-2.5-flash,0,4043,286,lan,4,5,6,3,7,1,2
521e055c-728c-4b5d-94aa-4c07883b5e42,2025-08-18 23:45:59.621858+00:00,google,gemini-2.5-flash,0,4043,288,lan,3,6,5,2,4,7,1
3c77104d-2966-42c8-ae3d-8507f3ad893e,2025-08-18 23:46:45.803479+00:00,google,gemini-2.5-flash,0,4047,294,lan,3,6,5,4,2,7,1
1d485c1c-05e9-454f-8617-60701d0af91e,2025-08-18 23:47:38.437968+00:00,google,gemini-2.5-flash,0,4045,292,lan,3,5,6,2,7,4,1
55edd460-97d1-4c06-aca2-a73f88555e70,2025-08-18 23:48:21.449087+00:00,google,gemini-2.5-flash,0,4043,289,lan,4,3,7,5,1,2,6
630212da-47ef-4731-b5fd-9a8ad80d5e6a,2025-08-19 00:19:35.795555+00:00,google,gemini-2.5-flash,0,4058,294,par,3,5,6,2,7,1,4
0ab4fd03-2959-4efc-b8c5-85289dcc3580,2025-08-19 00:20:29.433222+00:00,google,gemini-2.5-flash,0,4044,287,par,1,2,6,4,5,3,7
101aac82-b0e5-480f-91f6-ad8fc4bc7c87,2025-08-19 00:21:21.144543+00:00,google,gemini-2.5-flash,0,4048,291,par,4,6,7,3,1,2,5
0e87aef4-47ae-41a3-8a36-ab2f95993506,2025-08-19 00:22:09.171005+00:00,google,gemini-2.5-flash,0,4052,288,par,2,6,5,3,4,7,1
a53421ae-1d97-4e08-a799-b68789cecdb0,2025-08-19 00:22:59.040715+00:00,google,gemini-2.5-flash,0,4050,288,par,3,4,5,2,7,6,1
be87d85a-b4b8-44c7-9a26-39428e4c3358,2025-08-19 00:51:55.036956+00:00,google,gemini-2.5-flash,0,4042,295,sub,4,3,6,5,7,1,2
7bc30d1b-e3c6-4a0a-b871-a36579f37bb7,2025-08-19 00:52:40.069992+00:00,google,gemini-2.5-flash,0,4040,293,sub,1,3,7,5,6,4,2
60ab677f-c38d-4ffd-baba-ee99d41ff192,2025-08-19 00:53:25.844767+00:00,google,gemini-2.5-flash,0,4036,290,sub,4,1,6,5,7,2,3
ce02341a-19bb-4927-8069-b01947fbd9ac,2025-08-19 00:54:07.419110+00:00,google,gemini-2.5-flash,0,4040,290,sub,5,1,3,7,4,2,6
51614c4d-7b83-4d9b-a01c-14d33978e73a,2025-08-19 00:54:55.136103+00:00,google,gemini-2.5-flash,0,4038,293,sub,5,1,7,3,4,2,6
af3ea3e7-9868-4b02-8af5-fad13ff75225,2025-08-19 01:27:18.748797+00:00,google,gemini-2.5-flash,0,4045,291,vil,4,1,7,3,6,5,2
6fdb7035-2b97-4017-bbe2-256676fc54da,2025-08-19 01:28:09.315935+00:00,google,gemini-2.5-flash,0,4051,295,vil,1,5,7,3,6,4,2
6158b174-d5bf-4563-b0a3-b61535776446,2025-08-19 01:28:55.643498+00:00,google,gemini-2.5-flash,0,4049,293,vil,4,1,6,5,7,2,3
ca75fb55-595c-4412-849b-ad31c1df4964,2025-08-19 01:29:36.254843+00:00,google,gemini-2.5-flash,0,4049,292,vil,3,2,4,6,7,1,5
35f8a7a3-eb9c-4339-a0e6-a01c600e957e,2025-08-19 01:30:17.523031+00:00,google,gemini-2.5-flash,0,4047,292,vil,3,6,5,2,1,7,4
6b7dbc27-94fe-438f-97f8-faf2bba67696,2025-08-19 07:04:50.414031+00:00,google,gemini-2.5-flash,0,4008,285,ana,4,1,5,2,3,7,6
4b03e908-c758-40b0-814f-426168554904,2025-08-19 07:05:49.177673+00:00,google,gemini-2.5-flash,0,4006,284,ana,7,5,4,3,2,6,1
bc1cb808-8577-4f5b-8564-4ab0328497b3,2025-08-19 07:06:53.414216+00:00,google,gemini-2.5-flash,0,3995,278,con,2,4,3,5,6,7,1
2622ab53-f393-4bbc-88a2-ad9bdaa2827a,2025-08-19 07:07:46.952474+00:00,google,gemini-2.5-flash,0,4017,289,con,4,5,6,2,3,7,1
b024af25-5cb9-4855-a861-c686d83ff737,2025-08-19 07:08:43.811968+00:00,google,gemini-2.5-flash,0,4041,282,dis,2,3,6,1,5,4,7
a0380b58-fc26-4e0f-ab5d-2674a743c9db,2025-08-19 07:09:48.857869+00:00,google,gemini-2.5-flash,0,4039,285,dis,2,4,6,1,7,5,3
5086dbc4-abcd-4c1a-8b47-ccc09f4d7005,2025-08-19 07:10:55.001027+00:00,google,gemini-2.5-flash,0,4008,283,eco,3,6,5,1,4,7,2
171a15c4-6d71-477c-8eb5-3fb0c413baf8,2025-08-19 07:11:47.855840+00:00,google,gemini-2.5-flash,0,4016,284,eco,2,6,5,1,4,7,3
f258cc46-7d13-4fab-8726-bf39716fece6,2025-08-19 07:12:55.026844+00:00,google,gemini-2.5-flash,0,4040,286,eld,3,6,4,1,7,5,2
b67c1358-3cfe-4240-bd88-dcc66539f756,2025-08-19 07:13:44.900564+00:00,google,gemini-2.5-flash,0,4042,290,eld,3,4,6,1,7,5,2
a80f40fc-0dcd-41d7-92bd-e884206c0e79,2025-08-19 07:14:43.635931+00:00,google,gemini-2.5-flash,0,4049,293,far,4,2,5,1,3,6,7
76f7b78b-5b57-414e-898c-c73bc4edccad,2025-08-19 07:15:52.565939+00:00,google,gemini-2.5-flash,0,4045,292,far,3,4,6,2,7,5,1
bcdc372e-e284-4e48-9019-5eef040b1f99,2025-08-19 07:16:50.861053+00:00,google,gemini-2.5-flash,0,4009,288,fem,2,6,5,3,4,7,1
df55d92e-310a-4125-b2df-2a0898113b8b,2025-08-19 07:18:33.401093+00:00,google,gemini-2.5-flash,0,4038,289,fis,3,6,4,2,5,7,1
1b274a59-c0c7-4f42-88db-4914743dd272,2025-08-19 07:19:29.091073+00:00,google,gemini-2.5-flash,0,4046,288,fis,2,6,5,3,4,7,1
35d95bc0-5e78-4d83-ba83-556dfdf73148,2025-08-19 07:20:26.715550+00:00,google,gemini-2.5-flash,0,4018,287,fun,4,6,5,2,3,7,1
b6332fc2-69c0-4703-ae2d-9fe1c07cf65c,2025-08-19 07:21:21.780204+00:00,google,gemini-2.5-flash,0,4020,285,fun,3,6,4,1,5,7,2
fe2f0505-c026-4fc7-9bc1-85d80dd720d4,2025-08-19 07:22:32.470122+00:00,google,gemini-2.5-flash,0,3999,279,lib,2,6,4,1,3,7,5
df502406-66d8-4371-a506-ced65ebd3b56,2025-08-19 07:23:18.821694+00:00,google,gemini-2.5-flash,0,4005,278,lib,4,6,5,2,3,7,1
efd2c633-5fcd-44dc-8093-5545a46731af,2025-08-19 07:24:23.251054+00:00,google,gemini-2.5-flash,0,4030,294,pop,3,4,5,2,6,7,1
02654db0-c132-49de-a78a-b886f3e72a73,2025-08-19 07:25:04.991416+00:00,google,gemini-2.5-flash,0,4030,294,pop,4,2,6,3,7,5,1
