cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,"C1. Climate variation is normal, so why should this be a problem?",C2. I think it is safe to say climate change is here.,C3. Biodiversity is at risk due to the use of pesticides and monoculture farming,C4. Climate warming will ultimately benefit food production globally as plants better growth in higher temperature,C5. Extreme weather disasters affect global food availability,C6. Food waste is a major environmental issue,C7. Food waste is an important social issue (e.g. hunger in the world),C8. Intensive animal farming and monocultural plantation guarantees food supply,C9. Banning pesticides might help the local biodiversity but decreases our food production capacity and autonomy,C10. Animal antibiotical resistance will be the source of the next global pandemic,C11. Food thrown away is natural and biodegradable and thus not an issue for the environment,C12. The government should ensure that farmers are paid fair prices for their produce to secure higher incomes for those working in agriculture,"C13. The government should apply costum duties on imported products that can be produced in Switzerland (e.g., cheese, honey, apples, beef)",C14. Switzerland already has some of the toughest regulations about protecting our environment and agriculture,C15. Strong regulation of food products will eventually damage our economic relationship with other countries,"C16. Food that is NOT environmentally-sustainable, healthy and fairly-produced should be clearly labelled","C17. In Switzerland, packaging waste is a greater environmental issue than food thrown away","C18. Products that employ products that damage the environment, such as palm oil, should be taxed in a similar fashion to tobacco products",C19. Subsidies should only be given to farmers that do not use pesticides or antibiotics,"C20. If Switzerland implements strong regulations on importing environmentally-sustainable and fairly-produced food, we would either have to step out of our international trade agreements or have to renegotiate most of them","C21. To give subsidies only to farmers who do not use pesticides is an ""extreme"" approach that would mean falling crop yields and higher food prices",C22. Restaurants in schools or retirement homes should only offer vegetarian menus.,C23. We should introduce taxes to prevent food waste,"C24. Farmers should be encouraged to practice ecologically sustainable agriculture, such as permaculture.","C25. I am happy to buy fairtrade products, like chocolate or coffee, even if they are of lower quality","C26. I am happy to change my nutrition habits, as use leftovers in future meals, if this helps to prevent food waste",C27. I am happy to pay a higher price for local or organic food products,"C28. Eating sustainably is too expensive, and only wealthy people can afford it",C29. It is essential to always have fresh products available to be prepared for any situation (e.g. unexpected guests),C30. I don't care where the product I am buying comes from.
925dfa4b-908b-4de8-bbf6-9c2d4f95606d,2025-09-17 13:15:44.076981+00:00,anthropic,claude-3-haiku-20240307,0,3357,193,eco,1,7,7,1,7,7,7,2,2,7,1,7,6,5,3,7,3,7,7,3,2,5,6,7,5,7,6,3,2,1
a8563fa5-b4a0-494d-8a23-4e69024cb7f6,2025-09-17 13:15:47.722504+00:00,anthropic,claude-3-haiku-20240307,0,3357,194,eco,2,7,7,2,7,7,6,2,3,6,2,7,5,4,3,7,4,6,7,3,2,4,6,7,5,6,6,4,3,2
d3f060f6-9e2c-417d-877c-9abe2da5af44,2025-09-17 13:15:51.224693+00:00,anthropic,claude-3-haiku-20240307,0,3357,203,eco,2,7,7,1,7,7,7,2,3,6,2,7,5,4,2,7,3,7,6,3,2,5,6,7,6,6,5,3,4,1
4ad2cbd7-9faf-411a-92e7-041fbd811020,2025-09-17 13:15:54.924571+00:00,anthropic,claude-3-haiku-20240307,0,3357,204,eco,1,7,7,2,7,7,7,2,3,7,1,7,5,3,2,7,7,7,7,3,3,6,7,7,6,7,6,2,2,1
77cfb2d3-66f6-4e77-9aa7-3c223cc8cd55,2025-09-17 13:19:20.313904+00:00,anthropic,claude-3-haiku-20240307,0,3363,190,fas,7,1,7,7,7,2,2,7,7,7,6,7,7,6,7,1,5,1,2,7,7,1,1,2,2,2,2,6,7,7
5028d9dd-c516-4201-b148-2d8cce77cb83,2025-09-17 13:19:24.127451+00:00,anthropic,claude-3-haiku-20240307,0,3363,195,fas,1,7,2,1,7,2,2,7,7,7,2,7,7,7,1,7,2,7,7,1,2,7,7,2,2,7,2,2,7,1
cef27b65-b66c-475d-842b-edf283a8f2eb,2025-09-17 13:19:27.730063+00:00,anthropic,claude-3-haiku-20240307,0,3363,194,fas,2,6,2,5,6,4,3,7,5,6,6,7,7,3,2,7,3,6,7,2,2,2,6,2,2,3,2,4,7,1
7cfd4787-6e6e-4c2e-9e3f-6fc1c4482b02,2025-09-17 13:19:31.514017+00:00,anthropic,claude-3-haiku-20240307,0,3363,202,fas,7,2,2,7,2,2,2,7,7,7,7,7,7,2,2,7,7,7,2,2,7,2,7,2,2,2,2,7,7,7
f804a632-5050-48db-9335-1ff83c1ee74e,2025-09-17 13:19:34.979322+00:00,anthropic,claude-3-haiku-20240307,0,3363,194,fas,1,1,1,1,2,2,2,7,7,7,1,7,7,2,1,7,7,7,1,1,1,1,7,2,1,1,1,1,7,7
7d711919-40a2-45cf-8e5e-c28495416060,2025-09-17 13:24:01.849417+00:00,anthropic,claude-3-haiku-20240307,0,3348,197,fem,2,7,6,2,6,7,7,2,3,6,2,6,5,4,3,7,3,6,5,4,3,4,5,7,6,6,6,2,2,2
b2a712df-9897-4261-9348-4906be3bb207,2025-09-17 13:24:05.844275+00:00,anthropic,claude-3-haiku-20240307,0,3348,189,fem,1,7,7,1,7,7,7,2,2,7,1,7,4,4,2,7,2,7,7,3,2,5,6,7,5,7,6,2,3,1
96990db3-3957-43be-a8aa-10a9ff932b14,2025-09-17 13:24:09.634997+00:00,anthropic,claude-3-haiku-20240307,0,3348,196,fem,2,7,7,2,7,7,7,2,3,5,2,7,5,4,3,7,4,7,6,3,2,5,6,7,6,7,6,4,3,2
eb1bedfd-fd81-4444-a29f-19bd184019d9,2025-09-17 13:24:13.302283+00:00,anthropic,claude-3-haiku-20240307,0,3348,192,fem,1,6,7,1,7,7,7,2,3,6,1,7,5,4,2,7,3,6,6,3,2,4,5,7,6,6,5,3,6,1
14f4c46e-7fce-4602-b2a5-92284c9f8b37,2025-09-17 13:24:16.987868+00:00,anthropic,claude-3-haiku-20240307,0,3348,192,fem,1,7,7,2,7,7,7,2,3,7,1,7,4,3,2,7,6,6,7,3,3,6,6,7,5,6,6,2,2,1
051e74a4-b2bf-467d-aa80-e40e19d0309a,2025-09-17 13:28:33.547703+00:00,anthropic,claude-3-haiku-20240307,0,3360,193,fun,7,1,1,7,1,1,1,7,7,7,7,1,7,7,1,1,7,1,1,1,7,1,1,1,1,1,1,7,7,7
4aeb2efe-b912-409c-a585-5fd25acb538f,2025-09-17 13:28:37.248465+00:00,anthropic,claude-3-haiku-20240307,0,3360,195,fun,7,1,1,7,1,1,1,7,7,1,7,7,7,7,1,7,1,7,7,1,7,7,1,1,2,1,1,7,7,7
4fa865cc-c2e2-4b75-937e-b0a30426b068,2025-09-17 13:28:41.160115+00:00,anthropic,claude-3-haiku-20240307,0,3360,198,fun,1,7,7,1,7,2,2,7,2,7,1,7,7,2,1,7,2,7,7,1,1,2,2,7,2,2,2,2,7,1
ede213c8-1030-4b79-8832-91857743939b,2025-09-17 13:28:45.129505+00:00,anthropic,claude-3-haiku-20240307,0,3360,195,fun,1,2,7,1,7,7,7,7,6,7,1,7,7,6,1,7,2,7,7,1,6,7,6,7,2,2,2,1,7,1
4437a83d-88c9-4bbb-866e-b6a1b0090d8a,2025-09-17 13:28:49.134382+00:00,anthropic,claude-3-haiku-20240307,0,3360,191,fun,1,1,1,1,7,1,7,7,1,7,1,7,7,7,1,7,1,7,7,1,1,7,7,1,1,1,1,1,7,1
d029b85f-0048-4e5a-8dde-94c8857386f9,2025-09-17 13:32:38.095832+00:00,anthropic,claude-3-haiku-20240307,0,3360,190,lib,2,6,4,2,6,6,5,5,3,5,2,5,3,4,3,4,3,4,3,2,2,2,3,6,4,6,4,2,3,2
45701b0c-0c09-4e77-ab1e-e95393105d9f,2025-09-17 13:32:41.691266+00:00,anthropic,claude-3-haiku-20240307,0,3360,184,lib,2,5,4,2,4,4,4,3,3,4,2,5,2,4,2,5,2,4,2,2,2,2,2,6,4,5,4,3,5,2
38f5ff89-d733-4aa2-b9e0-0199d4fe98ce,2025-09-17 13:32:45.329758+00:00,anthropic,claude-3-haiku-20240307,0,3360,194,lib,2,6,6,2,5,4,5,3,5,4,2,4,3,4,2,6,3,4,3,2,2,2,2,6,4,6,4,3,3,2
eb02a918-bd0b-40aa-9eb8-50f2562a90b3,2025-09-17 13:32:49.120137+00:00,anthropic,claude-3-haiku-20240307,0,3360,193,lib,2,4,6,2,5,5,5,3,3,4,2,5,3,3,2,6,3,3,2,2,2,2,2,6,4,5,3,3,5,2
71fc62da-ddf1-438c-94aa-2be25120c0cd,2025-09-17 13:32:52.756802+00:00,anthropic,claude-3-haiku-20240307,0,3360,191,lib,2,5,5,2,5,5,5,4,3,6,2,2,3,4,4,6,4,3,2,3,2,2,2,6,3,5,4,2,3,2
72021b3d-155d-4dfd-a329-70cd79834c12,2025-09-17 13:36:33.696334+00:00,anthropic,claude-3-haiku-20240307,0,3354,193,nat,2,6,5,3,6,4,5,5,4,5,2,6,6,5,3,6,3,4,3,2,2,2,3,6,4,5,4,3,4,2
da2985c1-1a29-4bc8-8c52-4b0aeb3bb1c5,2025-09-17 13:36:37.599186+00:00,anthropic,claude-3-haiku-20240307,0,3354,194,nat,2,6,6,2,6,6,6,4,4,6,2,6,6,5,3,6,2,6,6,2,2,3,4,6,3,5,5,3,4,2
850aa9ef-6194-4fbd-99c5-a89708b71fcb,2025-09-17 13:36:41.171468+00:00,anthropic,claude-3-haiku-20240307,0,3354,194,nat,2,6,6,2,6,6,6,3,3,5,2,6,6,5,2,6,3,5,4,2,2,2,4,6,4,5,5,3,3,2
ebeafc8a-244a-4499-8852-9b528807de69,2025-09-17 13:36:44.765804+00:00,anthropic,claude-3-haiku-20240307,0,3354,194,nat,2,5,6,2,6,6,6,4,5,6,2,6,6,5,4,7,3,6,5,4,5,3,5,7,4,6,3,4,6,2
4a56e8dc-e41b-4557-8988-cc3f26fa586d,2025-09-17 13:36:48.580153+00:00,anthropic,claude-3-haiku-20240307,0,3354,194,nat,2,6,6,2,6,6,6,5,4,6,2,7,7,5,4,7,6,6,6,4,3,2,6,7,3,5,5,2,3,2
b4441c28-9266-4155-8e81-4896874df589,2025-09-17 13:40:20.761382+00:00,anthropic,claude-3-haiku-20240307,0,3360,191,pop,2,6,6,2,6,3,6,5,3,5,3,6,6,3,2,6,3,4,2,2,2,2,4,6,3,5,3,4,4,4
106babeb-e737-4058-9ab0-c7240c3a03ac,2025-09-17 13:40:25.346012+00:00,anthropic,claude-3-haiku-20240307,0,3360,193,pop,1,7,7,1,7,7,7,2,2,7,1,7,7,2,2,7,2,7,7,2,2,2,7,7,4,7,4,2,2,1
7acba4c1-d6fa-4ca4-830e-b9cd553c4213,2025-09-17 13:40:29.704413+00:00,anthropic,claude-3-haiku-20240307,0,3360,194,pop,2,7,7,2,7,7,6,2,2,6,2,7,7,2,2,7,3,6,7,2,2,3,6,7,4,5,4,3,2,2
abc1ba2f-6ba6-4370-8b65-1a4ee6dd6dc0,2025-09-17 13:40:33.678658+00:00,anthropic,claude-3-haiku-20240307,0,3360,194,pop,2,6,7,2,7,7,7,2,4,6,1,7,7,2,2,7,2,6,6,1,5,3,6,7,4,6,2,2,7,1
9d93e046-3502-4579-b0ea-a10c9ad09fbd,2025-09-17 13:40:37.762538+00:00,anthropic,claude-3-haiku-20240307,0,3360,190,pop,1,7,7,1,7,7,7,2,2,7,1,7,7,2,2,7,7,7,7,2,2,2,7,7,4,6,4,1,2,1
1ad28ebc-bf9f-455c-a1d6-8c58e9bbe2ea,2025-09-17 13:45:10.557493+00:00,anthropic,claude-3-haiku-20240307,0,3351,195,soc,2,7,6,2,6,7,7,3,4,6,2,7,6,4,3,7,3,6,5,3,3,5,6,7,6,6,6,3,2,2
5af3c13e-8e07-4ad7-aed7-110ba37755a0,2025-09-17 13:45:14.441290+00:00,anthropic,claude-3-haiku-20240307,0,3351,195,soc,1,7,7,1,7,7,7,2,2,7,1,7,6,4,2,7,2,7,7,2,2,6,6,7,5,7,6,3,3,1
2dc23df9-23a6-45f7-9269-475098e217a5,2025-09-17 13:45:17.945596+00:00,anthropic,claude-3-haiku-20240307,0,3351,192,soc,1,7,7,1,7,7,7,2,2,6,2,7,6,3,2,7,3,7,7,3,2,6,7,7,6,7,6,3,2,1
aabc232b-03d4-4c73-b6d5-ffee39cf6896,2025-09-17 13:45:21.822093+00:00,anthropic,claude-3-haiku-20240307,0,3351,197,soc,1,6,7,1,7,7,7,2,3,6,1,7,6,3,2,7,3,6,6,3,2,5,6,7,6,6,5,3,4,1
ea206a35-7e79-4084-83c4-af143e6d34b6,2025-09-17 13:45:25.712509+00:00,anthropic,claude-3-haiku-20240307,0,3351,194,soc,1,7,7,2,7,7,7,2,3,7,1,7,6,3,2,7,6,6,7,3,2,6,6,7,5,6,6,2,2,1
51345b7d-4010-46b4-97d3-ab100e004c80,2025-09-17 13:50:24.315026+00:00,anthropic,claude-3-haiku-20240307,0,3390,193,coa,1,7,5,2,7,6,6,2,3,6,2,6,5,4,3,6,3,5,4,3,3,4,5,6,5,6,5,2,2,2
553e5b77-1fff-46b6-bbd8-c39cbc60ace2,2025-09-17 13:50:28.618210+00:00,anthropic,claude-3-haiku-20240307,0,3390,194,coa,2,7,7,2,7,7,7,2,3,7,2,7,5,4,3,7,2,7,6,3,2,4,6,7,5,6,6,4,3,2
9f69d5ee-3773-401b-8d49-fff918388be6,2025-09-17 13:50:32.269556+00:00,anthropic,claude-3-haiku-20240307,0,3390,193,coa,2,7,7,2,7,7,6,3,4,5,2,7,5,5,4,7,3,6,6,4,3,4,6,7,5,6,6,4,3,2
9ec265e7-6e3e-4b95-9fbe-621e76f99c62,2025-09-17 13:50:35.776405+00:00,anthropic,claude-3-haiku-20240307,0,3390,189,coa,2,7,7,1,7,7,7,3,3,6,2,7,5,4,3,7,3,6,6,3,2,4,5,7,5,6,4,3,5,1
b3f5eaff-0d2f-4e5c-a56c-fd09af3b9bc2,2025-09-17 13:50:39.438743+00:00,anthropic,claude-3-haiku-20240307,0,3390,195,coa,2,7,7,2,7,7,7,2,4,7,1,7,5,4,4,7,6,6,6,5,3,5,6,7,4,6,6,3,3,2
feb5cbe9-1862-4196-939e-e568043d9bd5,2025-09-17 13:54:19.297702+00:00,anthropic,claude-3-haiku-20240307,0,3384,194,ctr,2,7,7,2,7,7,6,2,3,6,2,6,5,4,3,6,3,6,3,4,3,4,5,6,4,6,5,2,2,2
cdb6fb36-9810-491a-a9bf-491a851b7b7e,2025-09-17 13:54:23.127484+00:00,anthropic,claude-3-haiku-20240307,0,3384,192,ctr,1,7,7,1,7,7,7,2,2,7,1,7,5,4,3,7,2,7,6,3,2,3,6,7,5,7,6,4,2,1
e8cb0f81-feb8-4b3f-be13-4d975c544810,2025-09-17 13:54:26.527741+00:00,anthropic,claude-3-haiku-20240307,0,3384,196,ctr,2,7,7,2,7,7,7,2,3,6,2,7,5,4,3,7,3,6,7,3,2,3,6,7,4,6,5,4,2,1
c5ab0d1a-e093-4837-8d48-05abef9afee9,2025-09-17 13:54:30.329063+00:00,anthropic,claude-3-haiku-20240307,0,3384,193,ctr,1,7,7,1,7,7,7,2,3,6,2,7,5,4,4,6,3,6,5,4,2,3,5,7,4,6,3,3,6,1
bf5d6d18-0858-4b35-8e05-fe770df9ae7d,2025-09-17 13:54:33.882668+00:00,anthropic,claude-3-haiku-20240307,0,3384,192,ctr,1,7,7,1,7,7,7,2,3,7,1,7,5,4,3,7,7,6,6,3,2,4,6,7,3,6,6,2,2,1
9a94f795-e6aa-4a6d-bf1a-83d1b2a349a1,2025-09-17 13:58:22.007043+00:00,anthropic,claude-3-haiku-20240307,0,3393,196,dis,2,7,6,2,7,7,7,2,3,6,2,6,5,5,3,7,3,6,5,4,3,4,5,7,5,6,6,3,2,2
1ce18ac9-a35c-4faa-9720-2268679e617d,2025-09-17 13:58:25.822863+00:00,anthropic,claude-3-haiku-20240307,0,3393,193,dis,2,7,7,2,7,7,7,2,4,7,2,6,5,5,3,7,2,6,6,4,3,4,5,7,5,6,6,3,3,2
86d668a6-3da4-4d78-8e94-68231ad0ed9e,2025-09-17 13:58:29.682401+00:00,anthropic,claude-3-haiku-20240307,0,3393,196,dis,2,7,6,2,6,6,6,3,4,5,2,6,5,5,4,6,3,6,6,4,3,3,5,6,5,6,5,4,3,2
423dcdd7-c682-4f60-947c-6969f4ea69ce,2025-09-17 13:58:33.218362+00:00,anthropic,claude-3-haiku-20240307,0,3393,198,dis,2,7,7,2,7,7,6,3,4,6,2,6,5,4,3,6,3,6,5,4,3,3,4,6,5,6,4,3,5,2
5327224f-e8a5-401a-a3ee-d6187129d66d,2025-09-17 13:58:36.944172+00:00,anthropic,claude-3-haiku-20240307,0,3393,196,dis,2,7,7,2,7,7,7,2,3,7,2,7,4,4,3,7,6,6,6,4,4,5,6,7,5,6,6,3,3,2
6dcaf31d-3557-4aac-8b7e-61caf930e72d,2025-09-17 14:02:06.252676+00:00,anthropic,claude-3-haiku-20240307,0,3387,195,eld,2,7,5,2,7,7,6,2,3,6,2,6,5,4,3,6,3,5,3,4,3,4,5,6,4,6,5,2,3,2
90d71fd7-74e8-4eee-b56e-c4539d5229b6,2025-09-17 14:02:10.243954+00:00,anthropic,claude-3-haiku-20240307,0,3387,191,eld,2,7,7,2,7,7,7,2,3,7,2,6,5,4,3,7,2,6,6,3,2,3,5,7,4,5,5,4,3,2
19064136-1371-48a1-a7d2-875a8dfae23a,2025-09-17 14:02:13.922520+00:00,anthropic,claude-3-haiku-20240307,0,3387,191,eld,2,7,7,2,7,7,6,3,4,5,2,6,5,5,4,6,3,6,6,4,3,3,6,6,5,6,5,4,3,2
bf1665c5-e257-4d58-92f0-19b468606572,2025-09-17 14:02:17.558820+00:00,anthropic,claude-3-haiku-20240307,0,3387,201,eld,2,7,7,2,7,7,6,3,3,6,2,6,5,4,4,6,3,6,5,4,3,4,4,6,5,6,4,3,5,2
28861e4d-5e00-4bbb-920f-2109980f6e82,2025-09-17 14:02:21.257083+00:00,anthropic,claude-3-haiku-20240307,0,3387,197,eld,1,7,7,2,7,7,7,2,3,7,1,7,6,4,3,7,6,6,6,3,4,5,6,7,4,6,6,5,3,2
be782d13-af6e-4bd2-9af4-143f51c83e95,2025-09-17 14:06:01.572597+00:00,anthropic,claude-3-haiku-20240307,0,3384,191,far,1,7,6,2,7,7,6,2,3,6,2,6,5,4,3,6,3,6,5,4,3,4,5,7,5,6,5,3,2,2
a8db807d-0d15-4151-ae3c-7529173d20c4,2025-09-17 14:06:05.264131+00:00,anthropic,claude-3-haiku-20240307,0,3384,193,far,1,7,7,2,7,7,7,2,3,7,1,7,6,4,3,7,2,7,6,3,2,4,6,7,5,7,6,4,3,1
eeec5a7c-f83e-41be-8f32-722410117dd1,2025-09-17 14:06:09.222060+00:00,anthropic,claude-3-haiku-20240307,0,3384,197,far,2,7,7,2,7,7,6,3,4,5,2,6,5,5,4,6,3,6,6,4,3,4,6,7,5,6,6,4,3,2
279b75d8-a7bf-40e7-8398-5bc63969fe51,2025-09-17 14:06:12.869176+00:00,anthropic,claude-3-haiku-20240307,0,3384,208,far,2,7,7,2,7,7,6,3,3,6,2,6,5,4,4,6,3,6,5,4,3,4,5,7,5,6,4,3,5,2
b6f355ba-f140-4f5d-ad42-93df6758a0f7,2025-09-17 14:06:16.929929+00:00,anthropic,claude-3-haiku-20240307,0,3384,190,far,1,7,7,2,7,7,7,2,3,7,1,7,4,4,3,7,7,6,6,3,3,5,6,7,5,6,6,2,3,2
40c5762a-4e60-4341-acb9-c4819e09bcfd,2025-09-17 14:10:07.354770+00:00,anthropic,claude-3-haiku-20240307,0,3378,195,fis,2,7,6,2,7,7,6,2,3,6,2,6,5,4,3,6,3,5,5,4,3,4,5,6,5,6,5,3,2,2
c33d72a3-5c82-44c5-8c6f-8f32e384f27a,2025-09-17 14:10:11.128193+00:00,anthropic,claude-3-haiku-20240307,0,3378,190,fis,2,7,7,2,7,7,6,2,3,6,2,6,5,5,3,6,2,6,6,4,3,3,5,7,4,6,5,3,3,2
b0a00df3-bd95-4d49-b312-1ecd58e45f43,2025-09-17 14:10:14.511188+00:00,anthropic,claude-3-haiku-20240307,0,3378,193,fis,2,7,7,2,7,7,6,3,3,5,2,6,5,5,4,6,3,6,6,4,2,3,5,7,4,6,5,3,3,2
fef96680-07a3-469b-8b46-470bb8a2fe1a,2025-09-17 14:10:18.876099+00:00,anthropic,claude-3-haiku-20240307,0,3378,195,fis,2,7,7,1,7,7,6,3,3,6,2,6,5,4,3,6,3,6,5,3,2,3,4,6,5,6,4,3,5,1
a6d714b4-17c3-4e48-819b-72e419079735,2025-09-17 14:10:22.687543+00:00,anthropic,claude-3-haiku-20240307,0,3378,204,fis,2,7,7,2,7,7,7,3,3,6,2,7,5,4,3,7,6,6,6,4,4,4,6,7,4,6,5,3,3,2
fdb0b0f5-8187-4de3-b1dc-31499027715d,2025-09-17 14:13:56.951695+00:00,anthropic,claude-3-haiku-20240307,0,3387,199,lan,2,7,5,2,7,6,6,3,3,6,2,6,5,4,3,6,3,5,3,4,3,4,5,6,4,6,5,2,2,2
48526648-e0d0-4b24-9095-524605a84f9e,2025-09-17 14:14:00.455998+00:00,anthropic,claude-3-haiku-20240307,0,3387,195,lan,2,7,7,2,7,7,6,2,3,6,2,6,5,5,3,6,2,6,6,4,3,3,4,6,4,5,5,3,3,2
19267e8f-1507-4ef9-b8e5-f948ddc9778f,2025-09-17 14:14:04.337439+00:00,anthropic,claude-3-haiku-20240307,0,3387,194,lan,2,7,6,2,7,6,6,3,3,4,2,6,5,4,3,6,3,6,5,3,2,3,5,6,4,6,5,4,3,2
0fa709cb-fe10-446f-b043-7b435ccf4eb4,2025-09-17 14:14:08.193650+00:00,anthropic,claude-3-haiku-20240307,0,3387,206,lan,2,6,6,2,6,6,6,3,3,5,2,6,4,4,3,6,3,5,4,3,2,3,4,6,4,5,3,3,4,2
ee019160-d532-464b-8d47-22ae4d13f516,2025-09-17 14:14:11.961781+00:00,anthropic,claude-3-haiku-20240307,0,3387,194,lan,2,7,6,2,7,7,6,3,3,6,2,7,5,4,4,6,6,6,5,4,3,3,5,6,3,6,5,3,3,2
1fa2d0ea-c17a-4477-965e-2c4bba0826c1,2025-09-17 14:17:54.955381+00:00,anthropic,claude-3-haiku-20240307,0,3396,193,par,1,7,6,2,7,7,7,2,3,6,2,6,5,4,3,7,3,6,5,4,3,4,5,7,5,6,5,3,2,2
4a4f4972-87f3-48ff-97fd-94fe6ca829e4,2025-09-17 14:17:58.666800+00:00,anthropic,claude-3-haiku-20240307,0,3396,191,par,2,7,7,2,7,7,7,2,4,7,2,6,5,5,3,7,3,6,6,4,3,4,5,7,5,6,6,3,3,2
96c9e1a7-88bd-4d59-a287-af178035761f,2025-09-17 14:18:02.481105+00:00,anthropic,claude-3-haiku-20240307,0,3396,198,par,2,7,7,2,7,7,6,2,3,6,2,7,5,5,3,7,3,6,6,3,2,4,6,7,5,6,6,4,3,2
