cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,"P1. Use of stored data and biological samples for research requires approval by an appropriate governing body (e.g., research ethics board), regardless of whether the individual is identifiable.","P2. Regardless of privacy and oversight, it is most important to prevent discrimination (e.g., through insurance, social attitudes) that might result from research on collections of data and biological samples.","P3. Use of stored data and biological samples for research requires approval by an appropriate governing body (e.g., research ethics board), ONLY when the individual is identifiable.",P4. Use of stored data and biological samples for research requires authorization from individuals only when they are identifiable AND approval by an appropriate governing body (e.g. research ethics board) when they are not identifiable.,P5. Use of stored data and biological samples for research requires authorization from individuals ONLY when the individual is identifiable.,"P6. Regardless of privacy and oversight, it is most important to ensure benefits to society or the community (e.g., geographical, ethno-cultural) participating in a collection of data and biological samples.","P7. Every use of stored data and biological samples for research requires the authorization of individuals, even if the use does not identify the individual."
6695b47b-517c-4133-9b9a-832180f85ccf,2025-09-17 13:32:01.369454+00:00,anthropic,claude-3-haiku-20240307,0,4063,254,lib,5,7,4,1,2,3,6
7f6026f2-1aaf-4e91-b744-54d4064bf2b9,2025-09-17 13:32:09.237342+00:00,anthropic,claude-3-haiku-20240307,0,4063,258,lib,2,6,7,4,5,1,3
9748a4d5-88f2-4874-89d0-0e0a68a0c47d,2025-09-17 13:32:13.354321+00:00,anthropic,claude-3-haiku-20240307,0,4042,233,lib,1,6,2,3,5,4,7
30dec025-b11f-4f67-9258-eacc0a28fb0d,2025-09-17 13:32:17.638211+00:00,anthropic,claude-3-haiku-20240307,0,4063,257,lib,2,3,1,4,6,5,7
733781ed-f73a-4efd-9916-24de7951e7e2,2025-09-17 13:32:21.573203+00:00,anthropic,claude-3-haiku-20240307,0,4063,257,lib,4,2,5,1,3,7,6
c524b55e-fd61-45f4-95f3-2bbd76e90c54,2025-09-17 13:36:03.430008+00:00,anthropic,claude-3-haiku-20240307,0,4036,233,nat,6,7,4,3,2,1,5
f77644d9-5c6b-41c5-a74d-598f47e12730,2025-09-17 13:36:09.157193+00:00,anthropic,claude-3-haiku-20240307,0,4036,233,nat,2,6,5,4,7,1,3
eaa55569-e493-4b8c-a0ed-dcf4bcb8ac94,2025-09-17 13:36:13.318460+00:00,anthropic,claude-3-haiku-20240307,0,4057,254,nat,3,6,1,4,7,2,5
ce669af4-ad57-4212-8327-0561b652bf63,2025-09-17 13:36:17.540931+00:00,anthropic,claude-3-haiku-20240307,0,4057,258,nat,1,3,4,6,7,5,2
6d36b011-ba2f-4fba-a1b6-5257266a543f,2025-09-17 13:36:21.602823+00:00,anthropic,claude-3-haiku-20240307,0,4057,260,nat,1,2,5,4,6,3,7
5d9d91fd-1cae-4037-8d2f-aa06ae27f105,2025-09-17 13:39:50.960164+00:00,anthropic,claude-3-haiku-20240307,0,4063,256,pop,5,7,6,3,4,1,2
9c773e88-1401-4a36-8eb9-4c3eef2654e2,2025-09-17 13:39:55.184300+00:00,anthropic,claude-3-haiku-20240307,0,4063,253,pop,2,6,7,4,5,1,3
a05b8aa7-dfd2-4124-ae4f-d74257c3ca62,2025-09-17 13:39:59.150294+00:00,anthropic,claude-3-haiku-20240307,0,4063,256,pop,3,6,1,4,7,2,5
061cf261-0862-403b-80d7-5e27fd65c5d1,2025-09-17 13:40:03.492239+00:00,anthropic,claude-3-haiku-20240307,0,4063,254,pop,2,3,7,1,4,5,6
8ca8db10-e544-4035-8031-cacf24390046,2025-09-17 13:40:07.805794+00:00,anthropic,claude-3-haiku-20240307,0,4063,254,pop,1,2,5,4,7,3,6
cd4ce46b-675c-4734-8b62-f4e695744019,2025-09-17 13:44:39.020875+00:00,anthropic,claude-3-haiku-20240307,0,4033,237,soc,5,7,4,1,6,3,2
263f571e-7393-414a-9cc4-c78f6940ea88,2025-09-17 13:44:43.784128+00:00,anthropic,claude-3-haiku-20240307,0,4054,258,soc,2,6,7,4,5,1,3
2d37cffb-6d1a-4bc9-b927-48a8a31f72b0,2025-09-17 13:44:47.664033+00:00,anthropic,claude-3-haiku-20240307,0,4033,233,soc,1,6,2,4,5,3,7
8b228f67-6a72-4318-8c9c-176f0c444f0d,2025-09-17 13:44:51.500010+00:00,anthropic,claude-3-haiku-20240307,0,4054,259,soc,1,3,6,5,7,4,2
4bc07f4a-4164-4798-9eaf-9bf9b5d1a1dc,2025-09-17 13:44:55.723555+00:00,anthropic,claude-3-haiku-20240307,0,4033,233,soc,1,2,5,4,6,7,3
def42868-d568-4e58-a731-a47fb4956065,2025-09-17 13:49:55.743742+00:00,anthropic,claude-3-haiku-20240307,0,4093,258,coa,5,7,1,4,2,3,6
66958a07-1dcf-4a78-991b-a42eb3dedf17,2025-09-17 13:50:00.030025+00:00,anthropic,claude-3-haiku-20240307,0,4072,234,coa,2,6,5,4,7,1,3
cf3a46d9-ed61-474f-927c-c8377a4e9093,2025-09-17 13:50:03.928667+00:00,anthropic,claude-3-haiku-20240307,0,4093,258,coa,1,6,4,2,7,3,5
89914588-7719-487e-b750-0bad0cca7a2b,2025-09-17 13:50:08.538465+00:00,anthropic,claude-3-haiku-20240307,0,4093,257,coa,1,3,4,6,7,5,2
9a7bc493-73a0-46ce-9d32-3de2631e0c2a,2025-09-17 13:50:12.847619+00:00,anthropic,claude-3-haiku-20240307,0,4093,258,coa,4,2,5,1,6,7,3
023f1381-3adb-440e-adf5-4aec8b708417,2025-09-17 13:53:48.194085+00:00,anthropic,claude-3-haiku-20240307,0,4087,256,ctr,2,7,6,3,4,1,5
301419a4-d528-45ac-ae12-646389bc5465,2025-09-17 13:53:52.278351+00:00,anthropic,claude-3-haiku-20240307,0,4087,257,ctr,2,6,7,4,5,1,3
42f2185e-b86a-4023-9c12-8212e526b619,2025-09-17 13:53:56.289640+00:00,anthropic,claude-3-haiku-20240307,0,4066,235,ctr,1,6,2,4,5,3,7
82bc67ac-1308-497f-b904-52310654a784,2025-09-17 13:54:00.785784+00:00,anthropic,claude-3-haiku-20240307,0,4087,255,ctr,1,3,4,6,7,5,2
5f7febef-9bc7-4c68-afd6-b99242c4d83d,2025-09-17 13:54:04.782083+00:00,anthropic,claude-3-haiku-20240307,0,4087,256,ctr,4,2,5,1,6,7,3
f9a5fd8c-631b-4e78-b482-6b1168c69c6a,2025-09-17 13:57:37.258098+00:00,anthropic,claude-3-haiku-20240307,0,4096,256,dis,5,7,4,1,2,3,6
2785e777-c6a7-4003-bb90-a42d14117635,2025-09-17 13:57:41.603771+00:00,anthropic,claude-3-haiku-20240307,0,4075,235,dis,2,6,5,4,7,1,3
0f6c8be7-c763-43a0-88a3-7861874fa308,2025-09-17 13:57:45.556098+00:00,anthropic,claude-3-haiku-20240307,0,4096,258,dis,1,6,4,2,5,3,7
78cfdaef-9e0e-45ea-b62d-3a813590f33d,2025-09-17 13:57:50.463410+00:00,anthropic,claude-3-haiku-20240307,0,4096,258,dis,1,3,6,4,5,2,7
4ae13147-a53d-4e5a-a624-c317d17ac89b,2025-09-17 13:57:54.687659+00:00,anthropic,claude-3-haiku-20240307,0,4096,263,dis,4,2,5,1,6,7,3
7c5ca1e0-cdff-49ba-9538-f4e616b78ed5,2025-09-17 14:01:37.918671+00:00,anthropic,claude-3-haiku-20240307,0,4090,262,eld,1,7,6,5,4,3,2
44b1f235-8240-47c1-9d9d-8244a4faf40a,2025-09-17 14:01:42.098730+00:00,anthropic,claude-3-haiku-20240307,0,4069,239,eld,2,6,5,4,7,1,3
a051b3d3-0022-4fd5-a12a-a0f6b1ba8ff0,2025-09-17 14:01:46.275175+00:00,anthropic,claude-3-haiku-20240307,0,4090,258,eld,1,6,4,2,5,3,7
08919165-b162-4723-b6ea-6571be22a6ca,2025-09-17 14:01:50.383214+00:00,anthropic,claude-3-haiku-20240307,0,4090,255,eld,1,3,4,6,7,5,2
0b66039b-dbd0-49ab-9f68-3fcfe76bdc07,2025-09-17 14:01:54.228784+00:00,anthropic,claude-3-haiku-20240307,0,4090,259,eld,4,2,5,1,6,7,3
07221190-be31-4c80-a3fb-9b46400f44c0,2025-09-17 14:05:31.466444+00:00,anthropic,claude-3-haiku-20240307,0,4087,254,far,1,7,4,3,6,5,2
6d330c1b-3345-444c-8e3b-c4cbfff9910c,2025-09-17 14:05:36.532198+00:00,anthropic,claude-3-haiku-20240307,0,4066,233,far,2,6,5,4,7,1,3
88130422-706f-42ae-805a-3676bfd4d40e,2025-09-17 14:05:40.372810+00:00,anthropic,claude-3-haiku-20240307,0,4087,256,far,1,6,4,2,5,3,7
cb965039-b227-4571-a274-790715926035,2025-09-17 14:05:44.588454+00:00,anthropic,claude-3-haiku-20240307,0,4087,253,far,1,3,6,5,7,4,2
89d260f5-3115-435d-83a1-f4b65ac0b5d8,2025-09-17 14:05:49.304730+00:00,anthropic,claude-3-haiku-20240307,0,4087,257,far,4,2,5,1,6,7,3
0b265175-3774-4bd9-ad15-2c4c00ac4c6a,2025-09-17 14:09:39.678163+00:00,anthropic,claude-3-haiku-20240307,0,4081,257,fis,4,7,6,3,2,1,5
73c68f6d-b200-41e6-b800-ff08ed8fa7d8,2025-09-17 14:09:44.046270+00:00,anthropic,claude-3-haiku-20240307,0,4060,236,fis,2,6,5,4,7,1,3
9e9e8b1d-518d-4947-9068-c61b3beb3471,2025-09-17 14:09:47.992455+00:00,anthropic,claude-3-haiku-20240307,0,4081,257,fis,1,6,4,2,5,3,7
f4bb88ef-6e90-44c3-81a1-dbef039a1192,2025-09-17 14:09:52.070795+00:00,anthropic,claude-3-haiku-20240307,0,4081,254,fis,1,3,4,6,7,5,2
4f99685e-3c5a-4b49-9109-d17ef4f92f2d,2025-09-17 14:09:56.373234+00:00,anthropic,claude-3-haiku-20240307,0,4081,264,fis,4,2,5,1,6,7,3
d033a8de-27c8-4558-8a88-913fa4abb298,2025-09-17 14:13:26.273953+00:00,anthropic,claude-3-haiku-20240307,0,4090,262,lan,5,7,1,4,2,3,6
4a8839c2-6234-4c15-a8ef-490ca87f6d93,2025-09-17 14:13:32.902330+00:00,anthropic,claude-3-haiku-20240307,0,4069,238,lan,2,6,5,4,7,1,3
38b574e6-e766-4b0f-992f-ab2adb01f114,2025-09-17 14:13:37.171442+00:00,anthropic,claude-3-haiku-20240307,0,4090,260,lan,1,6,4,2,5,3,7
289ea235-8e98-4374-ae84-2e3b645cc1cd,2025-09-17 14:13:41.448497+00:00,anthropic,claude-3-haiku-20240307,0,4090,257,lan,1,3,6,5,7,4,2
8290e827-3466-4ed2-bcd8-a7d1a32bb1b5,2025-09-17 14:13:45.839299+00:00,anthropic,claude-3-haiku-20240307,0,4090,260,lan,4,2,5,1,6,7,3
aaff0e9b-7e13-4b5e-8f1c-814a782e2502,2025-09-17 14:17:19.561857+00:00,anthropic,claude-3-haiku-20240307,0,4099,257,par,5,7,4,3,2,1,6
a283a3c5-b115-4d9c-938b-49c06c761fd5,2025-09-17 14:17:24.081798+00:00,anthropic,claude-3-haiku-20240307,0,4099,255,par,2,6,7,4,5,1,3
b29e0a2d-757a-4de2-8053-3a71549a6cd9,2025-09-17 14:17:28.218869+00:00,anthropic,claude-3-haiku-20240307,0,4099,257,par,1,6,4,2,5,3,7
4aac80a0-29ac-483d-ac96-add873be717e,2025-09-17 14:17:32.566245+00:00,anthropic,claude-3-haiku-20240307,0,4099,253,par,1,3,4,5,7,2,6
02fa5fe9-ffc0-4987-a878-2fda51a809af,2025-09-17 14:17:36.610964+00:00,anthropic,claude-3-haiku-20240307,0,4099,253,par,4,2,5,1,6,7,3
2ddbbc82-93bc-4372-a5fb-6400a98bf1db,2025-09-17 14:21:11.448983+00:00,anthropic,claude-3-haiku-20240307,0,4081,253,sub,4,7,6,3,2,1,5
8c6480f3-c585-4b9d-ab27-4b9ae422d3d0,2025-09-17 14:21:16.097482+00:00,anthropic,claude-3-haiku-20240307,0,4081,274,sub,2,6,7,4,5,1,3
0c55833d-31ed-4b38-b61e-f0d5d75d49c7,2025-09-17 14:21:20.231330+00:00,anthropic,claude-3-haiku-20240307,0,4060,234,sub,1,6,2,4,5,3,7
7776f412-62ca-42a1-8b62-ea04711ec81f,2025-09-17 14:21:24.546205+00:00,anthropic,claude-3-haiku-20240307,0,4081,255,sub,1,3,6,5,7,4,2
9bcc926a-c27f-4347-85fa-71250f32ba7d,2025-09-17 14:21:28.791516+00:00,anthropic,claude-3-haiku-20240307,0,4081,258,sub,4,2,5,1,6,7,3
6d9c6b21-bf6a-4a8f-a01b-e105c3bdf709,2025-09-17 14:25:13.933909+00:00,anthropic,claude-3-haiku-20240307,0,4096,258,vil,5,7,4,3,2,1,6
9359fb6d-829c-4f90-9978-dc6c086fa8f2,2025-09-17 14:25:18.051978+00:00,anthropic,claude-3-haiku-20240307,0,4075,237,vil,2,6,5,4,7,1,3
45c63b44-b4bd-42d8-a695-6df8378206d8,2025-09-17 14:25:21.856412+00:00,anthropic,claude-3-haiku-20240307,0,4096,259,vil,1,6,4,2,5,3,7
f39b5c9e-5851-44d5-bc45-342e01045704,2025-09-17 14:25:26.164431+00:00,anthropic,claude-3-haiku-20240307,0,4096,260,vil,1,3,6,5,7,4,2
6e0fdf20-b877-437c-83b4-eb8aaafc2581,2025-09-17 14:25:30.363686+00:00,anthropic,claude-3-haiku-20240307,0,4096,259,vil,4,2,5,1,6,7,3
9e99eb01-de2d-4ebc-846a-0ee21e69e2a4,2025-09-17 14:29:03.551080+00:00,anthropic,claude-3-haiku-20240307,0,4090,258,csk,5,7,4,1,2,3,6
4ac5ed4e-0d88-47fe-b6a9-f25a3e2ddc43,2025-09-17 14:29:07.439957+00:00,anthropic,claude-3-haiku-20240307,0,4090,253,csk,2,6,5,1,3,4,7
6782c955-60bb-4548-9f1d-2445e1030fac,2025-09-17 14:29:11.479228+00:00,anthropic,claude-3-haiku-20240307,0,3841,120,csk,1,6,2,4,5,3,7
7fe5ccb4-c74a-4517-8cc5-dc89a1a85056,2025-09-17 14:29:14.621452+00:00,anthropic,claude-3-haiku-20240307,0,4090,256,csk,4,1,6,3,2,5,7
10480c5d-c8d3-4349-8890-266216cd061b,2025-09-17 14:29:19.060674+00:00,anthropic,claude-3-haiku-20240307,0,4090,253,csk,3,7,5,4,1,2,6
4fe0a0c7-0288-449d-8bae-4aa43d4d0f83,2025-09-17 15:37:50.701140+00:00,anthropic,claude-3-haiku-20240307,0,4045,237,fas,5,7,4,1,6,3,2
a6be2620-8bd2-4391-b905-08338e4c06be,2025-09-17 15:37:57.788472+00:00,anthropic,claude-3-haiku-20240307,0,4066,256,fas,3,6,1,4,7,2,5
7ce799f0-e767-4302-847f-fc1aa7da57e4,2025-09-17 15:38:02.807664+00:00,anthropic,claude-3-haiku-20240307,0,4066,256,fas,1,3,4,6,2,5,7
e23a9e7b-9173-48b5-a53e-53dfc97c26a8,2025-09-17 15:38:06.808715+00:00,anthropic,claude-3-haiku-20240307,0,4066,256,fas,1,7,5,4,3,2,6
