cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,"P1. Use of stored data and biological samples for research requires approval by an appropriate governing body (e.g., research ethics board), regardless of whether the individual is identifiable.","P2. Regardless of privacy and oversight, it is most important to prevent discrimination (e.g., through insurance, social attitudes) that might result from research on collections of data and biological samples.","P3. Use of stored data and biological samples for research requires approval by an appropriate governing body (e.g., research ethics board), ONLY when the individual is identifiable.",P4. Use of stored data and biological samples for research requires authorization from individuals only when they are identifiable AND approval by an appropriate governing body (e.g. research ethics board) when they are not identifiable.,P5. Use of stored data and biological samples for research requires authorization from individuals ONLY when the individual is identifiable.,"P6. Regardless of privacy and oversight, it is most important to ensure benefits to society or the community (e.g., geographical, ethno-cultural) participating in a collection of data and biological samples.","P7. Every use of stored data and biological samples for research requires the authorization of individuals, even if the use does not identify the individual."
5939bfe5-3c14-4837-acc7-883392ff75fc,2025-08-14 18:15:40.017302+00:00,anthropic,claude-3-5-sonnet-20241022,0,4096,252,dis,1,6,7,2,3,5,4
dbf64e68-8b1c-4fd3-a15b-8ce092a17f0a,2025-08-14 18:15:51.051257+00:00,anthropic,claude-3-5-sonnet-20241022,0,4096,252,dis,1,2,6,4,7,3,5
59b482b0-852a-4f31-98da-1a8c3607f00a,2025-08-14 18:15:58.345279+00:00,anthropic,claude-3-5-sonnet-20241022,0,4096,252,dis,1,4,6,5,3,2,7
a829c1c9-2182-4412-9593-4ba5b4e450a5,2025-08-14 18:31:49.779145+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,252,eld,3,1,5,4,6,7,2
1138a13f-ec0a-47c6-af88-4645641b980f,2025-08-14 18:32:01.038536+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,251,eld,1,2,5,7,6,4,3
0962e496-6311-4dbc-9e1d-bc746c1d2cbe,2025-08-14 18:32:11.190392+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,252,eld,3,4,5,1,7,6,2
4bbbadc4-9765-4d4a-ba68-651d763423e9,2025-08-14 18:32:24.636804+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,251,eld,2,1,6,5,7,3,4
663f1ac1-328a-4197-aa61-ae7d31daf073,2025-08-14 18:32:31.778498+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,249,eld,3,1,6,5,4,2,7
d913a7f1-03b6-4960-945a-28f1a1c8799c,2025-08-14 18:46:28.038491+00:00,anthropic,claude-3-5-sonnet-20241022,0,4087,251,far,4,1,5,3,6,7,2
b714bb5d-28a5-4dcb-8a0c-be341d72a8ad,2025-08-14 18:46:38.384444+00:00,anthropic,claude-3-5-sonnet-20241022,0,4087,251,far,1,2,5,7,6,3,4
40601c98-922d-4669-a42e-14cf90c8e46e,2025-08-14 18:46:48.285803+00:00,anthropic,claude-3-5-sonnet-20241022,0,4087,248,far,3,4,7,1,5,6,2
94e69303-c5be-4f8a-a0d1-a9016458fa75,2025-08-14 18:46:58.189000+00:00,anthropic,claude-3-5-sonnet-20241022,0,4087,249,far,2,1,6,5,7,3,4
4098f900-56da-4695-aa94-27fcb606c45c,2025-08-14 18:47:07.052698+00:00,anthropic,claude-3-5-sonnet-20241022,0,4087,251,far,3,1,6,5,4,2,7
7d1a88ce-0fc0-4095-9e87-72c0ee8b158c,2025-08-14 19:00:49.312890+00:00,anthropic,claude-3-5-sonnet-20241022,0,4081,250,fis,2,1,5,3,6,7,4
e43e32ef-8e1e-4e48-befa-41c054a68b0f,2025-08-14 19:00:57.587512+00:00,anthropic,claude-3-5-sonnet-20241022,0,4081,251,fis,1,2,5,7,6,3,4
86d86771-da64-4e9e-8abc-182e8a078ccd,2025-08-14 19:01:04.256261+00:00,anthropic,claude-3-5-sonnet-20241022,0,4081,252,fis,3,4,6,1,7,5,2
a9921559-fdc6-4503-b0e1-b71162af4801,2025-08-14 19:01:10.368023+00:00,anthropic,claude-3-5-sonnet-20241022,0,4081,247,fis,3,2,6,5,7,1,4
93a5334d-2b9c-442d-8cd1-634d94456b82,2025-08-14 19:01:16.093684+00:00,anthropic,claude-3-5-sonnet-20241022,0,4081,251,fis,1,4,6,5,3,2,7
2e54fe5b-1877-4451-8549-9e7a8e849380,2025-08-14 19:15:02.853243+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,251,lan,3,2,6,4,7,1,5
c61eef21-4580-4f40-9ed2-033f6aeea025,2025-08-14 19:15:10.034087+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,252,lan,1,2,5,7,6,3,4
1edbe2bb-c97a-4add-ac39-a43759e195e0,2025-08-14 19:15:16.935460+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,250,lan,3,4,6,1,7,5,2
be0dd468-5127-4d32-b2b1-c36ce5e07c93,2025-08-14 19:15:23.129621+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,250,lan,3,2,6,4,7,1,5
fd95ee0b-f464-4ab8-b15b-985f5a5039f6,2025-08-14 19:15:31.316336+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,251,lan,2,3,6,5,4,1,7
27df8130-ee30-4dd8-bd2b-bcb7bd5c7497,2025-08-14 19:29:21.384784+00:00,anthropic,claude-3-5-sonnet-20241022,0,4099,249,par,4,1,5,3,6,7,2
d6517c27-b6e0-4be3-94e9-548c27db6b84,2025-08-14 19:29:37.469321+00:00,anthropic,claude-3-5-sonnet-20241022,0,4099,253,par,1,2,5,7,6,3,4
053dc793-e023-4ad2-9f81-b2952f0fd069,2025-08-14 19:29:48.430120+00:00,anthropic,claude-3-5-sonnet-20241022,0,4099,249,par,3,1,7,4,5,6,2
2adc85c7-f5c0-4798-ae95-1f7fb01fdc96,2025-08-14 19:29:57.273065+00:00,anthropic,claude-3-5-sonnet-20241022,0,4099,251,par,1,2,6,5,7,3,4
7f4f4a4d-b1b8-4597-abea-e10306c51fd3,2025-08-14 19:30:03.897563+00:00,anthropic,claude-3-5-sonnet-20241022,0,4099,250,par,3,1,5,4,6,2,7
93c309ca-601b-479b-965c-06f09a15a433,2025-08-15 13:14:17.256136+00:00,anthropic,claude-3-5-sonnet-20241022,0,4081,251,sub,3,1,6,5,7,2,4
4f49a2cc-0e5e-4be2-97a4-a3656a388089,2025-08-15 13:14:33.103772+00:00,anthropic,claude-3-5-sonnet-20241022,0,4081,251,sub,3,2,7,4,6,1,5
011ca57f-3f34-4d07-a63b-55511c839989,2025-08-15 13:15:05.833802+00:00,anthropic,claude-3-5-sonnet-20241022,0,4081,251,sub,3,2,7,5,6,1,4
10512543-5fc1-42a6-946e-a6c5459d64a9,2025-08-15 13:15:24.967972+00:00,anthropic,claude-3-5-sonnet-20241022,0,4081,252,sub,6,2,7,4,5,3,1
83493dbf-2a0c-47cd-a3a3-f79f1ca30fec,2025-08-15 13:15:48.379248+00:00,anthropic,claude-3-5-sonnet-20241022,0,4081,251,sub,4,1,7,5,6,3,2
10b9f6a8-0f6f-4dab-8de7-fa7d79dac1fc,2025-08-15 13:30:18.102201+00:00,anthropic,claude-3-5-sonnet-20241022,0,4096,253,vil,3,2,7,6,5,4,1
d5e792b7-9349-4f8d-a977-c45208356ebb,2025-08-15 13:30:25.259753+00:00,anthropic,claude-3-5-sonnet-20241022,0,4096,253,vil,6,1,7,2,5,4,3
0e4ecac3-9348-4969-92d3-2c6167d91fec,2025-08-15 13:30:43.302639+00:00,anthropic,claude-3-5-sonnet-20241022,0,4096,253,vil,4,3,7,5,6,1,2
50a6a90a-0729-42a9-a3da-973010bf64ac,2025-08-15 13:30:50.000023+00:00,anthropic,claude-3-5-sonnet-20241022,0,4096,253,vil,1,4,6,3,7,2,5
d3be4e0d-843c-4a5c-8cb8-0af700053e46,2025-08-15 13:31:06.174421+00:00,anthropic,claude-3-5-sonnet-20241022,0,4096,252,vil,3,1,6,5,4,2,7
8e5b0f24-d941-4873-98de-c4aeb54e7b95,2025-08-15 13:44:53.814378+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,249,csk,6,1,3,5,4,2,7
d3b814dd-3bc7-43da-8d71-42f8aeaf92a2,2025-08-15 13:45:00.088681+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,249,csk,6,4,3,5,2,1,7
0150ff4f-34ea-4c12-8974-9365288bb282,2025-08-15 13:45:06.250358+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,249,csk,2,6,5,4,1,3,7
52bed07e-0a0a-4d3b-ae39-b51fc01200a3,2025-08-15 13:45:12.971204+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,250,csk,4,6,1,3,2,7,5
cfaf561d-da4f-4413-be1e-13380aca7c55,2025-08-15 13:45:24.194989+00:00,anthropic,claude-3-5-sonnet-20241022,0,4090,248,csk,4,7,3,5,1,2,6
e143be73-1874-454b-9f69-8baf2b247a4b,2025-08-15 14:18:17.374530+00:00,anthropic,claude-3-5-sonnet-20241022,0,4096,251,dis,1,2,6,4,7,5,3
1173f3bc-a957-4fcb-94cf-3f40e5d1cd18,2025-08-15 14:19:34.959278+00:00,anthropic,claude-3-5-sonnet-20241022,0,4060,248,eco,2,1,6,5,7,4,3
6a6859eb-5e61-4231-9722-644dc68a43ec,2025-08-15 14:21:04.681720+00:00,anthropic,claude-3-5-sonnet-20241022,0,4087,251,far,1,2,6,4,7,5,3
a9400eed-cb66-4a61-9d48-81a844b4012e,2025-08-15 14:22:38.994992+00:00,anthropic,claude-3-5-sonnet-20241022,0,4051,247,fem,2,1,6,5,7,4,3
ef27e556-16d1-40d2-8a68-3127ce8dad82,2025-08-15 14:24:17.871862+00:00,anthropic,claude-3-5-sonnet-20241022,0,4099,251,par,1,2,6,4,7,5,3
765262a4-9b07-4aca-a129-d530a85acdea,2025-08-15 14:26:28.002507+00:00,anthropic,claude-3-5-sonnet-20241022,0,4096,253,vil,2,1,6,4,5,3,7
754c26e3-9b33-469a-b4ad-c50ee7ff2bbd,2025-08-15 14:28:38.191207+00:00,anthropic,claude-3-5-sonnet-20241022,0,4081,252,sub,4,2,6,5,7,3,1
