cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,P1. Management that favors aggressive reduction of hazardous fuels,P2. Management that favors thinning treatments to realize economic gain.,"P3. Management that favors treatments to restore structure, function and composition of the forest to presettlement conditions, and allowing the introduction of fire as a natural disturbance.",P4. No fire or fuels management. Leaving the forests as they stand without active management.,P5. Management that favors local-based harvesting for fuel and timber needs.,P6. Management that favors the protection of wildlife and wildlife habitat.,"P7. Management that prioritizes the location and level of treatments favoring both ecological and social values (i.e. wildlife, watersheds, community protection, special cultural places)."
0558fae1-2cfb-4f58-878f-6898c4750394,2025-08-18 18:50:28.951682+00:00,google,gemini-2.5-flash,0,5017,335,nat,2,1,5,7,3,6,4
af0ba0e3-acff-4586-9e7e-e55b0361819b,2025-08-18 18:51:25.389169+00:00,google,gemini-2.5-flash,0,5023,335,nat,2,3,5,7,1,6,4
ecdf9020-8353-4de2-b7d5-69d9d1726769,2025-08-18 18:52:09.212263+00:00,google,gemini-2.5-flash,0,5015,337,nat,3,1,6,7,2,5,4
c9f80845-7555-4142-b5b6-07ec4e6f07f0,2025-08-18 18:52:56.634187+00:00,google,gemini-2.5-flash,0,5011,330,nat,1,2,6,7,3,5,4
4b665983-caf1-49a0-b13f-67985d05fbb2,2025-08-18 19:23:38.540690+00:00,google,gemini-2.5-flash,0,5024,337,pop,3,2,5,7,1,6,4
5955392c-e5f9-42cc-899a-48a40e413446,2025-08-18 19:24:26.530557+00:00,google,gemini-2.5-flash,0,5022,335,pop,3,2,6,7,1,5,4
06c0128c-8a08-4f5c-9de7-b250910d25c9,2025-08-18 19:25:18.788457+00:00,google,gemini-2.5-flash,0,5026,336,pop,3,2,6,7,1,5,4
7abfc273-1aac-482b-bb40-9729bc30adcd,2025-08-18 19:26:01.250093+00:00,google,gemini-2.5-flash,0,5022,335,pop,2,3,6,7,1,5,4
8d4d20a2-e2c3-48ef-a6b9-358d65312fc0,2025-08-18 19:26:57.713715+00:00,google,gemini-2.5-flash,0,5026,338,pop,2,3,6,7,1,5,4
429a9f97-7cc9-4f35-9732-86afab29821d,2025-08-18 19:55:58.891977+00:00,google,gemini-2.5-flash,0,5013,334,soc,5,6,4,7,2,3,1
9a92f527-8b4e-4279-80f8-f7f3a2446d9a,2025-08-18 19:56:44.270221+00:00,google,gemini-2.5-flash,0,5009,332,soc,5,6,4,7,2,3,1
44f2e349-d4bd-4fa0-9f7a-adb39fdc113d,2025-08-18 19:57:24.014054+00:00,google,gemini-2.5-flash,0,5015,337,soc,1,6,5,7,4,3,2
b517792a-037a-4a6f-a74c-2e64366a0007,2025-08-18 19:58:12.500010+00:00,google,gemini-2.5-flash,0,5011,332,soc,4,6,5,7,2,3,1
2a3db8d3-61d2-4e9d-aaec-640946dc1975,2025-08-18 19:59:03.203010+00:00,google,gemini-2.5-flash,0,5013,334,soc,5,7,3,6,2,4,1
f6190f3e-d80d-44fe-ae09-4aac4dd2c69f,2025-08-18 20:28:33.340950+00:00,google,gemini-2.5-flash,0,5046,340,coa,5,7,2,6,3,4,1
6a8ed7c7-e29a-446e-b39c-ddecf6d72f8b,2025-08-18 20:29:22.298847+00:00,google,gemini-2.5-flash,0,5040,333,coa,5,6,3,7,2,4,1
21382edc-a8fb-4440-9700-e973903c8b14,2025-08-18 20:30:18.452040+00:00,google,gemini-2.5-flash,0,5048,334,coa,5,6,2,7,4,3,1
7cd91994-5793-4a6e-a2ba-f004bad9d695,2025-08-18 20:31:03.274460+00:00,google,gemini-2.5-flash,0,5044,335,coa,3,6,2,7,5,4,1
c59fd846-5d30-4bb0-89a4-a96b4ed5f390,2025-08-18 20:31:49.091176+00:00,google,gemini-2.5-flash,0,5040,332,coa,4,6,2,7,5,3,1
e983377e-b9e8-4a82-b1ec-bd4fb7206664,2025-08-18 21:04:50.842289+00:00,google,gemini-2.5-flash,0,5025,332,ctr,3,2,5,7,4,6,1
7745a323-e160-4e59-a55a-43772022a113,2025-08-18 21:05:39.767984+00:00,google,gemini-2.5-flash,0,5031,335,ctr,1,2,5,7,3,6,4
f49282e7-c0f0-40c0-a3c2-01c247f8ae3a,2025-08-18 21:06:39.574024+00:00,google,gemini-2.5-flash,0,5031,336,ctr,1,2,6,7,3,5,4
0a8e4c6d-3775-43f0-ab26-416f81834784,2025-08-18 21:07:26.371638+00:00,google,gemini-2.5-flash,0,5027,336,ctr,1,3,5,7,2,6,4
84f05aad-41e2-461b-addd-432f2cc6fa1c,2025-08-18 21:08:19.210093+00:00,google,gemini-2.5-flash,0,5031,334,ctr,1,2,6,7,3,5,4
0c2f3e45-aabe-4313-acfc-e1e99da5f902,2025-08-18 21:35:16.331585+00:00,google,gemini-2.5-flash,0,5047,332,dis,2,6,3,7,4,5,1
62b7d377-0c57-4ff7-bbc9-842cb654d47c,2025-08-18 21:35:57.802461+00:00,google,gemini-2.5-flash,0,5051,335,dis,3,6,4,7,5,2,1
e28764dd-3655-4f59-ab12-023be9757e91,2025-08-18 21:36:47.860821+00:00,google,gemini-2.5-flash,0,5067,341,dis,3,6,2,7,5,4,1
23ecb604-16cf-4a57-86d7-c3febb7bde72,2025-08-18 21:37:31.380295+00:00,google,gemini-2.5-flash,0,5043,329,dis,2,6,4,7,5,3,1
8a286e9f-b3f2-4822-9b10-e784801b951a,2025-08-18 21:38:10.701817+00:00,google,gemini-2.5-flash,0,5041,332,dis,2,6,3,7,5,4,1
0ffea0ac-f50b-4cbe-8760-b3b7bc37c9e3,2025-08-18 22:05:19.268440+00:00,google,gemini-2.5-flash,0,5018,330,eld,1,6,5,7,3,4,2
2ae50b8e-1b5f-4fa1-af13-55e4e469e6c8,2025-08-18 22:06:07.545238+00:00,google,gemini-2.5-flash,0,5042,343,eld,4,5,7,6,3,2,1
e644f61e-f407-4072-a4b7-24494fa40a2c,2025-08-18 22:07:05.671642+00:00,google,gemini-2.5-flash,0,5032,334,eld,2,4,6,7,3,5,1
6b3acacb-3c42-463b-ac5d-c7ba7352cca1,2025-08-18 22:07:54.084199+00:00,google,gemini-2.5-flash,0,5028,331,eld,2,6,3,7,5,4,1
4c77468d-7df9-47b5-9a8f-31df81e032c4,2025-08-18 22:08:37.524200+00:00,google,gemini-2.5-flash,0,5018,325,eld,1,5,6,7,4,3,2
ae458673-c994-4c44-952f-e1d5cbfdb09f,2025-08-18 22:35:34.838820+00:00,google,gemini-2.5-flash,0,5035,336,far,1,6,2,7,4,5,3
9f6e0332-e935-43f1-bef6-fbe82eb089cd,2025-08-18 22:36:19.362615+00:00,google,gemini-2.5-flash,0,5045,344,far,3,6,2,7,4,5,1
11372ad5-97c2-4418-825f-ab88bf8ab8c8,2025-08-18 22:37:05.442621+00:00,google,gemini-2.5-flash,0,5033,334,far,2,5,6,7,3,4,1
4c706ef0-027a-4d5d-96c4-4cc57392ebc8,2025-08-18 22:37:43.226759+00:00,google,gemini-2.5-flash,0,5031,332,far,2,6,4,7,3,5,1
96d13afa-654c-4d04-9b8e-1fe75e6d57a7,2025-08-18 22:38:30.742709+00:00,google,gemini-2.5-flash,0,5027,331,far,2,6,4,7,3,5,1
09fcb3cd-29ad-42a0-851f-3a8e85f022ba,2025-08-18 23:10:53.665214+00:00,google,gemini-2.5-flash,0,5038,335,fis,3,6,5,7,4,2,1
b54e882b-3026-4f99-abf6-91fd6dbc4004,2025-08-18 23:11:33.274651+00:00,google,gemini-2.5-flash,0,5044,341,fis,5,6,4,7,3,2,1
6b771c82-2a49-48cb-aba2-3ca7d66cacce,2025-08-18 23:12:12.677927+00:00,google,gemini-2.5-flash,0,5044,342,fis,5,6,4,7,2,3,1
ffde0191-3be9-4b0a-ba87-e5f436e30870,2025-08-18 23:12:53.861921+00:00,google,gemini-2.5-flash,0,5042,336,fis,3,6,2,7,5,4,1
6481682e-ad3d-41f0-94e5-6ca38fdbc9e5,2025-08-18 23:41:21.629744+00:00,google,gemini-2.5-flash,0,5049,337,lan,2,6,4,7,1,5,3
9b547849-152c-44aa-9521-3ad4d1bfb869,2025-08-18 23:42:01.647812+00:00,google,gemini-2.5-flash,0,5055,339,lan,1,6,5,2,3,7,4
011423b0-b9f0-4ad6-81f4-d3007f8f3d2f,2025-08-18 23:42:55.596471+00:00,google,gemini-2.5-flash,0,5047,340,lan,2,4,5,7,3,6,1
5a7ecdfa-bb98-4c4a-a461-7a2e80d66885,2025-08-18 23:44:22.853714+00:00,google,gemini-2.5-flash,0,5041,335,lan,2,4,6,7,3,5,1
b52da157-4bee-425b-8eda-acaba92e1ce2,2025-08-19 00:14:25.831541+00:00,google,gemini-2.5-flash,0,5048,332,par,3,6,2,7,4,5,1
822db0f1-c627-45ac-8940-1a1dfd78014d,2025-08-19 00:15:53.565899+00:00,google,gemini-2.5-flash,0,5042,329,par,2,6,4,7,5,3,1
727a5a3c-e373-401f-8117-bf091a1ebe0f,2025-08-19 00:16:38.272179+00:00,google,gemini-2.5-flash,0,5052,334,par,3,6,2,7,5,4,1
f327ee18-81ff-437e-833e-fbd4dc5834e3,2025-08-19 00:17:26.443281+00:00,google,gemini-2.5-flash,0,5048,339,par,4,6,2,7,5,3,1
96fb0d5a-3799-4d9e-acc0-e0e19f78d820,2025-08-19 00:48:12.328856+00:00,google,gemini-2.5-flash,0,5032,334,sub,5,6,2,7,3,4,1
7fa643bb-802e-4da6-99bb-592de96a0abb,2025-08-19 00:48:55.540253+00:00,google,gemini-2.5-flash,0,5036,338,sub,5,6,3,7,2,4,1
8aee2b47-03e0-4959-888c-fc60fb81102c,2025-08-19 00:49:36.874937+00:00,google,gemini-2.5-flash,0,5032,334,sub,4,6,3,7,2,5,1
312bb665-70f5-4e22-b4c8-eb386db64345,2025-08-19 00:50:20.598349+00:00,google,gemini-2.5-flash,0,5030,330,sub,5,6,2,7,3,4,1
57261f24-0d49-436e-af41-414b05e475d9,2025-08-19 00:51:08.011754+00:00,google,gemini-2.5-flash,0,5038,336,sub,3,6,4,7,2,5,1
7d6aa6e6-01fe-407b-b377-d8e811e8c1fc,2025-08-19 01:23:28.552699+00:00,google,gemini-2.5-flash,0,5033,331,vil,3,6,5,7,2,4,1
753ef9dc-22b5-47a2-a480-436e1c43c821,2025-08-19 01:24:07.342491+00:00,google,gemini-2.5-flash,0,5039,334,vil,3,5,4,7,2,6,1
95f16e74-089b-4553-a995-aeb68ddd9c48,2025-08-19 01:24:54.550796+00:00,google,gemini-2.5-flash,0,5041,330,vil,3,5,4,7,2,6,1
4ca717aa-7192-4d5b-bf79-359b6341df71,2025-08-19 01:25:41.861544+00:00,google,gemini-2.5-flash,0,5039,335,vil,2,6,5,7,3,4,1
4ce76230-67e1-477e-ba68-625f63d9ece9,2025-08-19 01:26:33.879144+00:00,google,gemini-2.5-flash,0,5041,334,vil,2,6,3,7,4,5,1
a28b6647-2a56-4d88-ad33-0d4d72c6256a,2025-08-19 08:08:37.418009+00:00,google,gemini-2.5-flash,0,5016,335,eco,5,6,3,7,4,2,1
754abf2f-3cbf-4ad2-a1cc-b446965a6039,2025-08-19 08:09:26.729257+00:00,google,gemini-2.5-flash,0,5030,332,fis,5,7,4,6,2,3,1
10c9e5db-4fcd-4ce6-bd2d-427f721a5544,2025-08-19 08:10:12.969873+00:00,google,gemini-2.5-flash,0,5049,339,lan,3,7,4,2,1,5,6
caa2e0ff-bc7a-43fe-b1e0-76d0ea27c9c8,2025-08-19 08:11:25.288331+00:00,google,gemini-2.5-flash,0,5052,336,par,3,6,2,7,5,4,1
