cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,P1. Management that favors aggressive reduction of hazardous fuels,P2. Management that favors thinning treatments to realize economic gain.,"P3. Management that favors treatments to restore structure, function and composition of the forest to presettlement conditions, and allowing the introduction of fire as a natural disturbance.",P4. No fire or fuels management. Leaving the forests as they stand without active management.,P5. Management that favors local-based harvesting for fuel and timber needs.,P6. Management that favors the protection of wildlife and wildlife habitat.,"P7. Management that prioritizes the location and level of treatments favoring both ecological and social values (i.e. wildlife, watersheds, community protection, special cultural places)."
a349848f-9699-4928-a0cb-7f5ab994dd97,2025-09-09 19:06:37.091901+00:00,openai,gpt-4o-mini,0,4631,272,eco,6,5,3,7,4,2,1
52401eaa-087e-45e3-b534-3b57ba7f5457,2025-09-09 19:06:44.873240+00:00,openai,gpt-4o-mini,0,4629,274,eco,5,3,6,7,2,4,1
bd55212d-96e9-412a-9327-6521d2876fb2,2025-09-09 19:06:54.270827+00:00,openai,gpt-4o-mini,0,4631,272,eco,3,6,2,7,5,4,1
62a3a3a3-cb03-4113-850e-1b9919c0c9fa,2025-09-09 19:12:48.710012+00:00,openai,gpt-4o-mini,0,4634,272,fas,1,2,4,5,3,6,7
eccdbe87-1d4a-4721-b747-95fab01e403f,2025-09-09 19:12:55.553501+00:00,openai,gpt-4o-mini,0,4634,272,fas,1,2,5,4,3,6,7
84b9d31b-9a37-46bf-b5af-367d784fbfb5,2025-09-09 19:13:11.829791+00:00,openai,gpt-4o-mini,0,4632,272,fas,4,3,7,1,2,6,5
0255a8ec-3736-4de0-a936-17219fa06e1c,2025-09-09 19:13:18.959665+00:00,openai,gpt-4o-mini,0,4634,272,fas,1,3,2,7,5,4,6
01d90bab-4eb5-402e-a547-a51a59e7c1ac,2025-09-09 19:19:54.886144+00:00,openai,gpt-4o-mini,0,4625,271,fem,5,4,1,2,7,6,3
b79bb3e9-f7fa-4a44-9fdf-6c4115a04024,2025-09-09 19:20:01.641343+00:00,openai,gpt-4o-mini,0,4625,274,fem,5,7,1,2,3,4,6
2a47f15f-63d8-41b3-a0a3-c34cd7559405,2025-09-09 19:20:08.140487+00:00,openai,gpt-4o-mini,0,4625,271,fem,6,5,3,7,4,2,1
6b858180-a549-44eb-8ff7-604b2de5c876,2025-09-09 19:20:14.982655+00:00,openai,gpt-4o-mini,0,4623,272,fem,5,3,4,7,2,1,6
f185c10b-14b1-4af0-a3fa-085d323229fd,2025-09-09 19:20:21.870668+00:00,openai,gpt-4o-mini,0,4625,272,fem,5,6,2,7,3,4,1
b5d5cd09-a20b-42ba-877b-1a3c88b260f3,2025-09-09 19:26:57.298778+00:00,openai,gpt-4o-mini,0,4640,272,fun,7,2,1,5,3,4,6
6b2906c4-7ff2-4d2c-8859-973039685e0f,2025-09-09 19:27:03.857829+00:00,openai,gpt-4o-mini,0,4640,273,fun,1,2,5,4,7,6,3
f9a5f705-3d57-4f07-b643-30d22b2dd8f9,2025-09-09 19:27:22.440665+00:00,openai,gpt-4o-mini,0,4640,272,fun,1,3,2,7,5,4,6
17260847-e849-4be4-aa2f-9af546c596cc,2025-09-09 19:34:32.072604+00:00,openai,gpt-4o-mini,0,4634,273,lib,1,5,7,6,4,3,2
a8589feb-15ef-46df-92e4-ec8cfa2a5f9e,2025-09-09 19:34:40.560418+00:00,openai,gpt-4o-mini,0,4634,272,lib,4,1,5,3,7,6,2
f45e9516-afae-41a2-b72a-7055e352946a,2025-09-09 19:34:49.410546+00:00,openai,gpt-4o-mini,0,4634,273,lib,5,1,3,7,4,6,2
da6298fc-7e87-4c48-8f12-2d83def7f942,2025-09-09 19:34:57.033578+00:00,openai,gpt-4o-mini,0,4632,273,lib,5,6,2,7,3,4,1
45b85be3-88b6-40fe-b63b-a6b7ad02ea0d,2025-09-09 19:35:10.563494+00:00,openai,gpt-4o-mini,0,4634,274,lib,3,5,2,7,1,4,6
eb5df841-a044-4a20-a3ee-3c3467e5f0dc,2025-09-09 19:41:29.973050+00:00,openai,gpt-4o-mini,0,4637,272,nat,1,4,7,5,6,3,2
c6420de9-8712-4c58-8d74-8f759f1ad66b,2025-09-09 19:41:36.719643+00:00,openai,gpt-4o-mini,0,4637,272,nat,4,1,5,3,7,6,2
94636bad-43a5-4f04-93bd-2bfcaca2026b,2025-09-09 19:41:43.671961+00:00,openai,gpt-4o-mini,0,4637,272,nat,1,2,3,7,4,6,5
af77db22-c234-4060-a99f-61bf462c3a96,2025-09-09 19:41:50.750420+00:00,openai,gpt-4o-mini,0,4635,273,nat,5,7,2,1,3,6,4
6108927c-f295-4902-ae37-9ee80f6a15f9,2025-09-09 19:42:00.606274+00:00,openai,gpt-4o-mini,0,4637,271,nat,3,5,2,7,1,4,6
668bacaa-2cf5-43cc-a793-c8a1dde09957,2025-09-09 19:49:27.875231+00:00,openai,gpt-4o-mini,0,4640,272,pop,1,5,7,6,4,3,2
1521228f-c0a2-4cf2-8139-0f74af02a167,2025-09-09 19:49:34.877828+00:00,openai,gpt-4o-mini,0,4640,272,pop,4,1,5,3,7,6,2
f79faf92-c597-40ba-a99c-21b5b78bb31c,2025-09-09 19:49:41.476004+00:00,openai,gpt-4o-mini,0,4640,272,pop,1,2,3,7,4,6,5
14a5f978-5fde-4a15-b60e-7c55b5402910,2025-09-09 19:49:49.061399+00:00,openai,gpt-4o-mini,0,4638,273,pop,5,3,2,7,6,4,1
6c43b541-926f-4798-a4fa-fccec72ea315,2025-09-09 19:49:59.103591+00:00,openai,gpt-4o-mini,0,4640,271,pop,3,5,2,7,1,4,6
8f920815-e2e3-4cbf-9f4a-a33134f78437,2025-09-09 19:57:08.073953+00:00,openai,gpt-4o-mini,0,4628,271,soc,6,7,4,2,5,1,3
9d27400d-a233-4f56-aa4e-5e5da8b1af58,2025-09-09 19:57:15.692320+00:00,openai,gpt-4o-mini,0,4628,272,soc,5,7,1,2,3,4,6
cd1c57fa-4113-405b-bd04-4cc242dcc33d,2025-09-09 19:57:24.388501+00:00,openai,gpt-4o-mini,0,4628,271,soc,6,5,3,7,4,2,1
2b1dc326-7b14-47f7-a65d-62d2d84e595e,2025-09-09 19:57:31.329782+00:00,openai,gpt-4o-mini,0,4626,272,soc,5,3,4,7,2,1,6
39d046d8-dc69-47b7-8e7b-7705a2a1696a,2025-09-09 19:57:38.963748+00:00,openai,gpt-4o-mini,0,4628,272,soc,5,6,2,7,3,4,1
9a6f32e6-67bb-4d7c-9b62-7d3a682cf2f2,2025-09-09 20:03:30.467880+00:00,openai,gpt-4o-mini,0,4664,271,coa,1,4,5,2,7,3,6
13a50b14-e43e-4dc1-96e2-4c03ac477f0e,2025-09-09 20:03:39.046382+00:00,openai,gpt-4o-mini,0,4664,272,coa,4,5,1,2,3,7,6
5cb31613-6f58-4af5-85e0-a425d9c2b0bf,2025-09-09 20:03:46.135180+00:00,openai,gpt-4o-mini,0,4664,272,coa,6,5,3,7,4,2,1
902e4c14-c1d9-4c18-866a-3a09f3d8c57d,2025-09-09 20:03:53.840118+00:00,openai,gpt-4o-mini,0,4662,274,coa,5,3,6,7,2,4,1
269f08cd-1ec5-4013-a410-baa67f494741,2025-09-09 20:04:01.409236+00:00,openai,gpt-4o-mini,0,4664,272,coa,3,6,2,7,5,4,1
8e3e9d26-1fd9-492a-82a6-4b4229b538b6,2025-09-09 20:10:31.577824+00:00,openai,gpt-4o-mini,0,4652,272,ctr,6,7,4,5,1,3,2
e870dbdc-3adc-4a24-b70e-17f1ae7cf3bb,2025-09-09 20:10:38.676737+00:00,openai,gpt-4o-mini,0,4652,271,ctr,4,5,1,2,3,7,6
7ea7f7d7-689a-421d-b57e-0eb8b82019a7,2025-09-09 20:10:45.254735+00:00,openai,gpt-4o-mini,0,4652,271,ctr,1,5,3,7,4,6,2
fcff5aca-5ca6-4f81-a4e1-6eb0835d9e1e,2025-09-09 20:10:51.906271+00:00,openai,gpt-4o-mini,0,4650,274,ctr,5,3,6,7,2,4,1
b512d9bd-c731-401e-bfe4-b65cd494d305,2025-09-09 20:10:58.618659+00:00,openai,gpt-4o-mini,0,4652,272,ctr,3,6,2,7,1,5,4
1b2effee-63d3-46f8-bf05-831b96bee843,2025-09-09 20:17:04.566148+00:00,openai,gpt-4o-mini,0,4667,271,dis,1,4,5,2,7,6,3
ba2a226c-b512-4ebe-a250-1a0e84990667,2025-09-09 20:17:12.391515+00:00,openai,gpt-4o-mini,0,4667,272,dis,4,5,1,2,3,7,6
86efe48b-bddc-4e4e-9691-56647a3464be,2025-09-09 20:17:19.689452+00:00,openai,gpt-4o-mini,0,4667,272,dis,6,5,3,7,4,2,1
f5372525-0940-4d34-90f9-c86b944c6b8f,2025-09-09 20:17:28.602379+00:00,openai,gpt-4o-mini,0,4665,272,dis,5,3,6,7,2,4,1
1c1001e8-5c4e-4eaa-991d-233e55d58bad,2025-09-09 20:17:36.383875+00:00,openai,gpt-4o-mini,0,4667,272,dis,3,6,4,7,5,2,1
ebddd987-022c-47e5-8202-d81940e88fdf,2025-09-09 20:23:21.585228+00:00,openai,gpt-4o-mini,0,4655,271,eld,1,7,6,2,4,5,3
554ba43a-a03e-444a-8cde-6c56896a464a,2025-09-09 20:23:29.047289+00:00,openai,gpt-4o-mini,0,4655,274,eld,4,7,5,2,3,1,6
a0ffb121-c8a4-49d3-bf19-0ec91b6aee71,2025-09-09 20:23:36.561418+00:00,openai,gpt-4o-mini,0,4655,272,eld,6,5,3,7,4,2,1
78a3dcbb-c1f1-47dc-8f2e-dde833410c7b,2025-09-09 20:23:42.770601+00:00,openai,gpt-4o-mini,0,4653,274,eld,5,3,6,7,2,4,1
6f35cc81-51a7-4cd8-944c-535b6989d904,2025-09-09 20:23:49.632871+00:00,openai,gpt-4o-mini,0,4655,272,eld,3,6,2,7,5,4,1
143c01ce-a374-462a-9800-745ccc19f622,2025-09-09 20:31:01.871193+00:00,openai,gpt-4o-mini,0,4655,271,far,1,4,5,2,7,6,3
de3bc2ca-4970-474a-b64b-f535766e951b,2025-09-09 20:31:11.588412+00:00,openai,gpt-4o-mini,0,4655,271,far,4,5,1,2,3,7,6
a709d094-d75b-4442-a5b1-2e4a33140449,2025-09-09 20:31:22.774090+00:00,openai,gpt-4o-mini,0,4655,272,far,6,5,3,7,4,2,1
8e19eb33-b499-4d46-a234-dc776e28fb74,2025-09-09 20:31:38.974938+00:00,openai,gpt-4o-mini,0,4653,274,far,5,3,6,7,2,4,1
9e39beb3-560a-4ff3-8b9b-703a9f1b7b42,2025-09-09 20:31:57.784390+00:00,openai,gpt-4o-mini,0,4655,272,far,3,6,2,7,5,4,1
49255feb-9dd5-48da-9c1b-b15e3bb5022b,2025-09-09 20:39:15.647334+00:00,openai,gpt-4o-mini,0,4655,272,fis,5,4,1,2,7,3,6
db274120-2d3f-49cd-8bbf-3f3328345ff0,2025-09-09 20:39:24.855041+00:00,openai,gpt-4o-mini,0,4655,272,fis,4,5,1,2,3,7,6
b71e25fd-bb56-4e9f-b2b9-7a5878c55d10,2025-09-09 20:39:31.816270+00:00,openai,gpt-4o-mini,0,4655,272,fis,6,5,3,7,4,2,1
89417721-9258-47bc-b94d-9e3d68acf823,2025-09-09 20:39:39.704546+00:00,openai,gpt-4o-mini,0,4653,274,fis,5,3,6,7,2,4,1
49e54326-371f-4094-b986-06d46b9baa78,2025-09-09 20:39:47.079201+00:00,openai,gpt-4o-mini,0,4655,272,fis,3,6,2,7,1,5,4
9d308372-7eb5-4f2a-acd9-9bf938d08e52,2025-09-09 20:47:23.489048+00:00,openai,gpt-4o-mini,0,4664,272,lan,5,7,1,2,4,3,6
c9c5815b-70ff-4570-8e8b-2aa19e49b45f,2025-09-09 20:47:30.950728+00:00,openai,gpt-4o-mini,0,4664,272,lan,4,5,1,2,3,7,6
e0f3db52-b2ea-4ff1-9734-62bb1ff2c72e,2025-09-09 20:47:38.472702+00:00,openai,gpt-4o-mini,0,4664,272,lan,6,5,3,7,4,2,1
b33b89b9-d4ae-4b45-9801-5a7e07d28909,2025-09-09 20:47:45.306067+00:00,openai,gpt-4o-mini,0,4662,272,lan,5,3,6,7,2,4,1
4bd6b9f3-ec0b-4133-b133-19d74a200b40,2025-09-09 20:47:52.050655+00:00,openai,gpt-4o-mini,0,4664,272,lan,3,6,4,7,1,5,2
4e71846d-bfeb-4db9-9265-66b43dc90934,2025-09-09 20:53:55.391688+00:00,openai,gpt-4o-mini,0,4670,271,par,1,4,5,2,7,6,3
5f41279b-c0bb-47d8-bb17-f946b3266a8b,2025-09-09 20:54:02.447350+00:00,openai,gpt-4o-mini,0,4670,274,par,4,5,1,2,3,7,6
d4a69650-b80e-4f59-95df-b673ebd00233,2025-09-09 20:54:09.371829+00:00,openai,gpt-4o-mini,0,4670,272,par,6,5,3,7,4,2,1
6dce791e-ca2b-4cbc-bc9c-3452d12f8889,2025-09-09 20:54:16.046494+00:00,openai,gpt-4o-mini,0,4668,272,par,5,3,6,7,2,4,1
bbb6340b-de2c-4b83-8cb8-648f9e46a74b,2025-09-09 20:54:23.515501+00:00,openai,gpt-4o-mini,0,4670,271,par,3,6,2,7,5,4,1
6d18b4f4-d42f-4826-8eac-e5f805cd8f79,2025-09-09 21:00:22.753536+00:00,openai,gpt-4o-mini,0,4658,271,sub,1,7,5,2,4,6,3
af58ed52-b505-45d3-9a67-5b851f336fc1,2025-09-09 21:00:30.975698+00:00,openai,gpt-4o-mini,0,4658,272,sub,4,7,5,2,3,1,6
a3424b6d-df17-4171-8403-291b4fd76928,2025-09-09 21:00:40.413290+00:00,openai,gpt-4o-mini,0,4658,271,sub,6,5,3,7,4,2,1
ace41b47-c594-437f-8a7d-c12d925fdbfe,2025-09-09 21:00:47.644817+00:00,openai,gpt-4o-mini,0,4656,274,sub,5,3,6,7,2,4,1
e4ea8d0a-f44b-4a67-a56f-726225d21d9a,2025-09-09 21:00:56.387602+00:00,openai,gpt-4o-mini,0,4658,272,sub,3,6,4,7,1,5,2
4b46f6ea-d2a9-4468-82f6-73efcfee3eb6,2025-09-09 21:06:44.165999+00:00,openai,gpt-4o-mini,0,4664,271,vil,1,4,5,2,7,6,3
00e5e074-0858-4db1-95e3-e6cb267a26c8,2025-09-09 21:06:50.249987+00:00,openai,gpt-4o-mini,0,4664,274,vil,4,7,5,2,3,1,6
bc665a3b-f027-428e-9819-8fdd8a1c2ca8,2025-09-09 21:06:57.204391+00:00,openai,gpt-4o-mini,0,4664,272,vil,6,5,3,7,4,2,1
b0446574-9c13-4507-b8e5-7d28b297c1d0,2025-09-09 21:07:02.841833+00:00,openai,gpt-4o-mini,0,4662,274,vil,5,3,6,7,2,4,1
efe4a1ed-5a10-49fc-829a-9dd8cc3b2263,2025-09-09 21:07:08.385391+00:00,openai,gpt-4o-mini,0,4664,272,vil,3,6,2,7,5,4,1
481dea7f-2050-41b6-88c2-67f6114952c4,2025-09-09 21:12:43.334960+00:00,openai,gpt-4o-mini,0,4658,271,csk,2,4,1,7,3,5,6
5edae684-0afd-492c-9292-c16221be0217,2025-09-09 21:12:50.171232+00:00,openai,gpt-4o-mini,0,4658,271,csk,4,1,5,7,3,2,6
bd8ae816-d9f9-4b2a-8b0e-57b18d2e43a9,2025-09-09 21:13:03.744773+00:00,openai,gpt-4o-mini,0,4656,272,csk,5,7,3,6,2,4,1
f167ab30-9618-4b42-827d-3b72f9992f4d,2025-09-09 21:13:11.804261+00:00,openai,gpt-4o-mini,0,4658,272,csk,3,1,7,6,2,4,5
f0f7d42b-bd9c-487b-9664-4392458d7841,2025-09-10 06:33:42.427159+00:00,openai,gpt-4o-mini,0,4658,271,csk,1,2,4,7,3,5,6
39ed8725-2ee7-43a8-aa53-ef14236d4b0f,2025-09-10 06:33:50.000176+00:00,openai,gpt-4o-mini,0,4658,271,csk,4,1,5,7,3,2,6
b15e13d6-6994-4cac-8fe7-840258e097ab,2025-09-10 06:34:21.171365+00:00,openai,gpt-4o-mini,0,4634,272,fas,1,2,4,5,3,6,7
21452279-1fbb-49f1-b850-7197355e5c7f,2025-09-10 06:34:29.709847+00:00,openai,gpt-4o-mini,0,4634,272,fas,1,2,5,4,3,6,7
944c3a41-36b4-47cd-a75e-34a6222fb96e,2025-09-10 06:34:48.879934+00:00,openai,gpt-4o-mini,0,4640,272,fun,1,7,4,5,6,3,2
4bfb9b25-d307-40a9-8cdf-15d6ff2545c2,2025-09-10 06:34:56.448903+00:00,openai,gpt-4o-mini,0,4640,272,fun,1,7,5,4,3,2,6
