cuid,created_at,provider,model,survey,temperature,input_tokens,output_tokens,prompt_uid,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,R
955d33a0-2595-40b5-a962-d522d60f2f2c,2025-08-14T15:41:21Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3894,268,eco,7,7,2,6,7,5,2,5,5,3,6,6,1,7,6,3,2,7,3,2,6,3,4,2,2,1,2,2,6,7,1,7,3,7,2,1,2,6,6,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,6,1,5,2,NA,NA,NA,Focus on root causes through international aid while providing humane local support.
c4e79908-d5f8-47c3-a6e2-0672ed4c3a3b,2025-08-14T15:41:31Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3894,270,eco,7,7,2,3,6,2,2,4,4,3,5,7,1,6,6,3,2,6,3,1,5,2,4,3,2,1,2,2,5,6,2,6,4,7,3,1,2,6,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,7,1,4,2,NA,NA,NA,Addressing root causes in source countries while providing humane support is most sustainable.
e5c38d66-ba86-49d2-a417-821323192635,2025-08-14T15:47:46Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,277,fun,4,3,7,7,2,7,7,7,1,7,1,1,7,7,7,7,7,7,5,7,4,7,1,7,7,7,7,7,1,1,1,7,7,7,6,7,7,1,6,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,4,3,5,2,7,NA,NA,NA,Begging must be banned to protect our society and values; help should only be given in their homelands.
a8d5e9db-3b39-4af2-806e-7ea7499f9eeb,2025-08-14T15:47:56Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,270,fun,4,4,7,7,3,6,7,7,1,7,1,1,7,7,7,7,7,6,4,7,4,6,1,6,7,7,7,7,1,1,7,7,7,7,5,6,6,1,4,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,6,5,1,7,NA,NA,NA,Protect Swedish values and laws by removing beggars and preventing illegal settlements.
4a9ae1e1-38c5-4958-af9b-c74c72a35f2d,2025-08-14T15:48:05Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,272,fun,4,4,7,7,3,5,7,7,2,7,2,1,6,6,7,7,7,5,5,7,4,2,1,6,7,7,7,7,2,1,2,7,7,7,3,6,7,1,4,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,4,5,3,7,NA,NA,NA,Begging must be banned to protect Swedish values and prevent exploitation of our welfare system.
e84da1ea-d0ec-43d0-80ef-74c51b0715d6,2025-08-14T15:48:17Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,271,fun,4,3,7,7,3,6,7,7,1,7,1,1,7,6,7,7,7,7,4,7,5,6,1,7,7,7,7,7,1,1,1,7,7,7,5,7,7,1,4,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,2,5,3,7,NA,NA,NA,Protect our nation's values and resources by removing those who don't belong here.
c53968aa-8b90-4782-b054-901ef00f3928,2025-08-14T15:48:24Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,270,fun,4,4,7,7,3,2,7,7,1,7,1,1,7,4,7,7,7,6,5,7,4,2,1,6,7,7,7,7,1,1,3,6,7,7,5,6,6,1,4,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,6,4,3,5,1,2,7,NA,NA,NA,Focus on fixing problems at source while strictly enforcing laws to protect Swedish society.
a8ac30d8-2bd5-4c60-a79a-0d6190d7441a,2025-08-14T15:59:41Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,273,lib,7,6,2,5,6,3,3,6,2,4,3,5,2,7,6,5,2,7,3,3,5,3,3,3,2,2,6,4,3,4,2,7,5,7,2,2,2,5,4,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,6,5,2,7,1,3,4,NA,NA,NA,"Focus on empowering individuals through economic development in source countries, not restrictive bans."
3f298685-36de-40e5-acbf-bce920454195,2025-08-14T15:59:48Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,270,lib,7,7,5,5,5,4,4,7,2,6,2,3,5,7,6,6,4,5,4,5,4,2,3,4,4,5,6,6,2,3,6,7,6,7,3,3,2,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,7,4,2,5,1,3,6,NA,NA,NA,Focus on source countries while preserving individual rights and enforcing existing laws fairly.
448fb88c-e1f4-4908-a20d-badc198a08ad,2025-08-14T15:59:54Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,272,lib,6,6,1,2,6,4,2,6,2,2,2,7,1,7,4,3,2,5,3,1,5,2,6,3,2,1,6,2,2,6,2,6,2,6,4,2,2,6,4,3,1,7,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,7,1,4,2,NA,NA,NA,Focus on empowering individuals through aid at source while respecting freedom of movement and dignity
21eae2e0-18d1-4fe4-968b-8a3ed3fd226e,2025-08-14T16:00:01Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,269,lib,7,6,2,5,6,4,3,7,2,4,3,5,1,7,6,4,3,6,3,2,6,3,4,3,3,2,6,2,3,5,1,7,4,7,4,2,2,5,5,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,7,5,1,6,2,4,3,NA,NA,NA,Enforce laws equally while addressing root causes through international cooperation and limited aid.
1e5a921c-b71f-4cee-9bb9-9d564e11f4f4,2025-08-14T16:00:13Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,269,lib,6,6,5,3,5,2,3,7,2,4,2,4,6,6,6,5,3,6,3,2,5,2,3,2,3,2,6,5,2,3,3,6,5,7,3,2,2,4,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,7,1,3,6,NA,NA,NA,Support free market solutions and individual rights while addressing root causes in source countries.
a30a395d-64ca-4a94-8acf-80ac5884b947,2025-08-14T17:06:36Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3891,272,nat,4,3,7,6,2,7,7,7,1,7,1,1,7,5,7,7,7,6,4,7,4,6,1,6,7,7,7,7,1,1,2,6,7,7,6,6,6,1,5,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,4,3,5,2,6,NA,NA,NA,Ban begging to protect Swedish society and direct aid to source countries instead of local support.
59ea5b3f-b999-4be3-b48a-2950bfffd1e9,2025-08-14T17:06:45Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3891,271,nat,4,4,7,6,3,6,7,7,1,6,2,1,6,5,7,7,7,6,4,7,5,6,1,5,7,7,7,7,2,2,6,7,7,7,5,5,6,1,4,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,6,5,3,7,NA,NA,NA,Protect Swedish identity and resources by banning begging and prioritizing national interests.
5aac8064-2990-440c-92cd-43f7e4f9747d,2025-08-14T17:06:53Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3891,273,nat,4,4,7,7,3,6,7,7,1,6,2,1,6,5,7,7,7,5,5,7,4,2,1,6,7,7,7,7,1,1,2,7,7,7,2,6,7,1,4,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,4,5,3,7,NA,NA,NA,Banning begging protects Swedish society and directs resources to our own citizens first.
c6571960-dd59-4d82-814e-92aa5d874b9d,2025-08-14T17:07:03Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3891,272,nat,4,3,7,6,3,6,7,7,1,7,1,1,7,4,7,7,7,5,5,7,4,6,1,6,7,7,7,7,1,1,7,7,7,7,5,6,6,1,4,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,3,5,2,7,NA,NA,NA,Protect Swedish identity and resources by removing foreign beggars and preventing new arrivals.
87fc6246-b9f9-44cf-867e-8119465f7547,2025-08-14T17:07:14Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3891,271,nat,3,4,7,7,3,1,7,7,1,7,1,1,7,4,7,7,7,6,5,7,3,2,1,6,7,7,7,7,1,1,4,7,7,7,6,6,7,1,4,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,6,4,3,5,1,2,7,NA,NA,NA,Prioritize helping in source countries while strictly enforcing laws to protect Swedish interests.
255d9ce7-38ec-4b60-ae48-57b04770424e,2025-08-14T17:13:03Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,271,pop,3,3,7,6,2,7,7,7,1,6,2,1,6,6,6,7,7,6,2,7,4,7,1,7,7,7,7,7,1,1,2,7,7,7,6,7,7,1,7,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,3,5,4,2,6,NA,NA,NA,Ban begging and settlements to protect our streets from foreign exploitation of Swedish generosity.
94a88144-9db3-4c92-969b-424e0e1830bc,2025-08-14T17:13:14Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,273,pop,5,5,7,6,4,7,7,7,1,6,2,2,6,6,7,7,7,6,5,7,6,7,1,7,7,7,7,7,2,2,6,7,7,7,7,7,7,1,6,2,7,2,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,6,5,1,7,NA,NA,NA,We must protect our streets from foreign beggars by enforcing laws and removing illegal camps.
5204b5e8-b42f-4414-b9d2-3368144d2d95,2025-08-14T17:13:23Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,268,pop,4,4,7,7,3,7,7,7,1,6,2,1,6,5,7,7,7,3,5,7,6,7,1,7,7,7,7,7,1,1,2,7,7,7,6,7,7,1,7,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,3,4,5,2,7,NA,NA,NA,Ban begging and settlements to protect our welfare state from foreign exploitation.
354eec18-b6ba-46f6-87ae-69c9aff8225d,2025-08-14T17:13:33Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,272,pop,3,2,7,6,2,7,7,7,1,6,1,1,7,3,6,7,7,5,2,7,6,7,1,7,7,7,7,7,1,1,7,7,7,2,6,7,7,1,7,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,2,5,3,7,NA,NA,NA,We must protect our Swedish welfare state from foreign beggars who exploit our generosity!
9a1491df-e7a1-4c6b-87c1-9e5f0c490218,2025-08-14T17:13:42Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3897,272,pop,3,4,7,7,3,7,7,7,1,6,2,2,7,3,7,7,7,6,5,7,5,7,1,6,7,7,7,7,1,2,2,7,7,7,7,6,7,1,7,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,7,4,3,5,1,2,6,NA,NA,NA,We must protect our nation by stopping foreign beggars from exploiting our welfare system.
0390fd73-5f34-498c-a0a5-344a21f0db9d,2025-08-14T17:27:04Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3888,270,soc,7,7,1,4,7,4,1,3,5,1,7,7,1,7,4,1,1,7,2,1,7,4,6,2,1,1,3,1,7,7,1,7,7,7,1,1,1,7,7,5,1,7,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,7,2,6,1,NA,NA,NA,Support housing and aid while opposing bans and deportations that harm vulnerable populations.
e7380d70-433c-4450-8f70-87035f32a672,2025-08-14T17:27:13Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3888,269,soc,7,7,1,4,7,4,1,2,4,1,7,7,1,7,4,1,1,7,3,1,6,2,5,2,1,1,1,1,7,7,1,7,1,7,3,1,1,7,6,5,1,7,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,3,2,7,1,NA,NA,NA,Provide housing and aid while addressing root causes through international solidarity and cooperation.
4bcf6b00-a680-4fc2-afb4-ec61e8bf851e,2025-08-14T17:27:21Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3888,271,soc,7,7,1,2,7,4,1,3,5,2,6,7,1,6,5,2,2,6,2,1,6,2,6,2,2,1,2,1,7,7,2,6,2,6,3,1,2,7,6,5,1,7,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,5,2,7,1,NA,NA,NA,Support housing and aid while opposing punitive measures that criminalize poverty and desperation.
39683829-59c5-4665-bb34-b9e1adf1e7a3,2025-08-14T17:27:29Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3888,271,soc,7,7,1,6,7,5,1,3,6,2,7,7,1,7,6,1,1,7,2,1,7,3,5,2,1,1,2,1,7,7,1,7,1,7,3,1,1,7,7,6,1,7,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,6,2,5,1,NA,NA,NA,Support housing and aid while addressing root causes; oppose criminalization and deportation of vulnerable
365a6680-6077-4a60-a55b-5e0ced128b12,2025-08-14T17:27:36Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3888,273,soc,7,7,1,2,7,7,1,2,7,1,7,7,1,7,4,1,1,7,2,1,7,2,6,2,1,1,1,1,7,7,1,7,1,7,3,1,1,7,7,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,2,5,6,3,4,7,1,NA,NA,NA,"Provide housing and support to all, regardless of origin - collective welfare is a human right."
ab84cca3-9874-40d4-a051-db8162c2a71b,2025-08-14T17:41:32Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3927,268,coa,7,7,2,5,7,4,2,4,6,2,6,7,1,6,4,3,2,6,2,3,6,4,6,2,3,1,2,2,6,7,1,7,4,6,1,1,1,6,5,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,7,2,4,1,NA,NA,NA,Support humane aid and housing while addressing root causes through international cooperation.
edefc606-cc12-404b-9c39-cb2c9ae87fa0,2025-08-14T17:41:42Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3927,271,coa,7,7,3,5,7,4,2,5,4,2,5,6,2,6,6,3,3,6,5,3,5,3,5,2,3,1,2,3,4,6,2,7,5,7,2,1,2,6,4,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,3,1,4,2,NA,NA,NA,Addressing root causes in source countries is most effective for long-term poverty reduction.
25efc78e-573d-4dc1-a4e6-67b4b6963cc3,2025-08-14T17:41:52Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3927,270,coa,7,7,2,4,7,4,2,4,5,3,6,7,1,6,5,3,2,6,4,2,6,3,5,3,2,1,2,3,6,7,2,6,3,7,2,1,2,6,5,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,7,3,4,6,2,5,1,NA,NA,NA,Support humane local aid while addressing root causes abroad and avoiding harsh enforcement measures.
b7e7e042-0f62-4dd8-9244-d76d741a439e,2025-08-14T17:42:03Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3927,270,coa,7,7,2,6,7,5,3,5,6,4,6,7,1,7,6,3,3,7,2,4,6,3,5,2,3,1,2,2,6,7,1,7,4,7,1,1,2,6,5,7,1,6,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,6,2,5,1,NA,NA,NA,Prioritize humane support and address root causes while maintaining reasonable law enforcement.
a40cd664-691b-4802-8acf-fbd54a262c56,2025-08-14T17:42:12Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3927,271,coa,6,7,3,3,6,2,2,4,7,3,5,6,2,6,5,3,2,6,2,2,5,2,5,2,2,1,2,3,5,6,2,6,4,6,2,1,2,6,5,7,1,5,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,7,1,4,2,NA,NA,NA,Addressing root causes in source countries helps more people while preserving dignity and stability.
e780ec7b-47c8-43b2-8e25-36bbf0393a55,2025-08-14T17:55:18Z,anthropic,claude-3-5-sonnet-20241022,uppsala_speaks,0,3921,271,ctr,6,6,3,4,6,3,3,5,5,4,5,5,3,5,5,5,4,6,3,4,5,4,5,3,4,3,3,3,5,5,2,6,4,6,2,2,3,4,4,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,7,5,3,6,1,4,2,NA,NA,NA,Addressing poverty at its source while providing humane support is the most effective solution.
