model,survey,role_uid,temperature,n
claude-3.7-sonnet:thinking,zh_winterthur,lan,0,0
claude-3.7-sonnet:thinking,zh_winterthur,lan,-1,0
claude-3.7-sonnet:thinking,zh_winterthur,par,0,0
claude-3.7-sonnet:thinking,zh_winterthur,par,-1,0
claude-3.7-sonnet:thinking,zh_winterthur,sub,0,0
claude-3.7-sonnet:thinking,zh_winterthur,sub,-1,0
claude-3.7-sonnet:thinking,zh_winterthur,vil,0,0
claude-3.7-sonnet:thinking,zh_winterthur,vil,-1,0
claude-3.7-sonnet:thinking,zh_winterthur,csk,0,0
claude-3.7-sonnet:thinking,zh_winterthur,csk,-1,0
