cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a dramatic cut back in CO2 emissions (by 50% in the next 10 years).,P4. Policies that involve a moderate cut in CO2 emissions (by 25% in over the next 10 years).,"P5. Adaptation policies and expenditure (e.g. coastal protection, water desalinisation, improving infrastructure etc). Planning controls and emergency response programs.","P6. Adaptation policies that target individual, small business or community-based actions (eg support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change. 
0b6b20eb-c546-4b80-8118-b30701c5185b,2025-08-14 16:01:30.906086+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,225,lib,7,3,6,5,4,1,2
ea835c6b-da3a-458e-b553-629f25496ef8,2025-08-14 16:01:41.556015+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,225,lib,6,3,7,5,4,1,2
f3374274-34f1-45ed-acfe-91d1996c2ab8,2025-08-14 16:01:52.018621+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,224,lib,6,7,4,5,3,2,1
cbe90405-3bac-499a-9254-0957bb967f18,2025-08-14 16:02:03.783295+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,227,lib,4,3,6,7,2,1,5
967f9987-7845-4b9d-ae45-6225fac77b8a,2025-08-14 17:08:06.723745+00:00,anthropic,claude-3-5-sonnet-20241022,0,3590,223,nat,5,1,7,6,4,2,3
2a0c7835-c838-4144-9a43-32702d31e318,2025-08-14 17:08:13.281376+00:00,anthropic,claude-3-5-sonnet-20241022,0,3590,222,nat,3,1,7,6,5,4,2
ddd36895-d303-463d-a651-d1ab1207f885,2025-08-14 17:08:20.010617+00:00,anthropic,claude-3-5-sonnet-20241022,0,3590,222,nat,3,1,6,5,2,7,4
aed1e5b1-3772-4421-a9c0-61a47685228f,2025-08-14 17:08:28.750186+00:00,anthropic,claude-3-5-sonnet-20241022,0,3590,222,nat,2,1,7,6,5,4,3
b9b5b1e7-afde-4681-8346-797598305d4b,2025-08-14 17:08:39.083471+00:00,anthropic,claude-3-5-sonnet-20241022,0,3590,221,nat,4,3,6,7,1,2,5
7c8450ee-ee9c-497a-9322-f3288e5f10f3,2025-08-14 17:14:34.530621+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,229,pop,5,6,1,2,3,7,4
c56f1410-8309-460c-93f4-c352af00e201,2025-08-14 17:14:47.772479+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,228,pop,1,2,7,6,5,4,3
adef91f4-bf79-402b-86fc-519b2fa07b21,2025-08-14 17:14:58.361423+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,229,pop,1,2,5,4,6,7,3
264d719e-fc42-413b-b4d7-5df6708d5e51,2025-08-14 17:15:08.449710+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,226,pop,2,1,7,6,5,4,3
2c45231b-bf2b-494c-aa45-929b9bf842c4,2025-08-14 17:15:20.171441+00:00,anthropic,claude-3-5-sonnet-20241022,0,3596,226,pop,6,7,1,5,3,2,4
efc0aeeb-ce5a-4d0d-85fe-ec2107b8b45a,2025-08-14 17:28:40.884709+00:00,anthropic,claude-3-5-sonnet-20241022,0,3587,225,soc,5,6,1,2,3,7,4
5380cebf-88a5-4da9-ba46-1d0c3d0ceb35,2025-08-14 17:28:51.107554+00:00,anthropic,claude-3-5-sonnet-20241022,0,3587,224,soc,7,6,1,5,3,2,4
69c19169-fd96-4107-bab8-82ea341e0faa,2025-08-14 17:28:59.101386+00:00,anthropic,claude-3-5-sonnet-20241022,0,3587,224,soc,7,6,1,4,2,5,3
26c14bb8-6dd9-4db1-a881-97009713d39c,2025-08-14 17:29:05.934982+00:00,anthropic,claude-3-5-sonnet-20241022,0,3587,224,soc,7,5,1,6,2,4,3
6043eec0-bfd6-40fd-ac8f-43fe5d5be9b2,2025-08-14 17:29:15.253052+00:00,anthropic,claude-3-5-sonnet-20241022,0,3587,225,soc,6,7,1,5,3,2,4
60b64fb9-1597-41d3-8077-c5303c152298,2025-08-14 17:43:11.841854+00:00,anthropic,claude-3-5-sonnet-20241022,0,3626,228,coa,5,6,1,4,2,7,3
731b358e-5cf4-46bd-aa15-6b1c255fe187,2025-08-14 17:43:24.117991+00:00,anthropic,claude-3-5-sonnet-20241022,0,3626,229,coa,7,6,1,5,4,3,2
215d0229-75f9-4fd2-8c62-27e9891134b3,2025-08-14 17:43:33.304218+00:00,anthropic,claude-3-5-sonnet-20241022,0,3626,229,coa,7,6,2,4,1,5,3
f009b98d-396d-4170-a6e4-1919c16e84fa,2025-08-14 17:43:42.162277+00:00,anthropic,claude-3-5-sonnet-20241022,0,3626,229,coa,7,5,1,6,2,4,3
e5be6331-d93f-4606-9886-37b793ebc33d,2025-08-14 17:43:50.327945+00:00,anthropic,claude-3-5-sonnet-20241022,0,3626,226,coa,6,7,3,5,1,2,4
f0acc694-7714-4e33-9432-75e90da23a80,2025-08-14 17:57:07.813063+00:00,anthropic,claude-3-5-sonnet-20241022,0,3620,231,ctr,5,6,1,4,2,7,3
8a383291-f98b-4217-b993-1b17bf0bd861,2025-08-14 17:57:18.520639+00:00,anthropic,claude-3-5-sonnet-20241022,0,3620,231,ctr,7,6,1,5,4,3,2
a244f6cc-c24a-4945-b4b5-53f4e75ebf41,2025-08-14 17:57:28.126153+00:00,anthropic,claude-3-5-sonnet-20241022,0,3620,233,ctr,7,6,1,4,2,5,3
0772ea60-5bfa-4e76-b056-2f1581c25317,2025-08-14 17:57:39.965998+00:00,anthropic,claude-3-5-sonnet-20241022,0,3620,228,ctr,7,5,1,6,4,2,3
9717f28e-a968-4c95-93bf-a44811bdfdd6,2025-08-14 17:57:49.687219+00:00,anthropic,claude-3-5-sonnet-20241022,0,3620,225,ctr,6,7,3,5,1,2,4
66395de1-a0b7-4f6f-98c2-9a9326656fd0,2025-08-14 18:13:37.200209+00:00,anthropic,claude-3-5-sonnet-20241022,0,3629,228,dis,5,6,1,4,2,7,3
a462113b-9e1d-424a-9336-0df811e8cfb4,2025-08-14 18:13:46.475491+00:00,anthropic,claude-3-5-sonnet-20241022,0,3629,228,dis,7,6,1,5,4,3,2
a3ff71a4-232d-4d95-ac70-c405baa7158c,2025-08-14 18:13:57.750531+00:00,anthropic,claude-3-5-sonnet-20241022,0,3629,228,dis,7,6,1,4,2,5,3
749c31b6-d053-48ce-b6f6-6539afa31cb9,2025-08-14 18:14:08.593697+00:00,anthropic,claude-3-5-sonnet-20241022,0,3629,228,dis,7,5,1,6,3,2,4
125e721c-2bf0-4a15-9042-b4521a5cd3d3,2025-08-14 18:14:19.310425+00:00,anthropic,claude-3-5-sonnet-20241022,0,3629,227,dis,6,7,1,5,3,2,4
3a7598af-54d9-45cb-9062-0146dec2bc10,2025-08-14 18:30:09.452753+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,230,eld,5,6,1,4,2,7,3
fd815dc5-4c05-42fa-a97c-ffe1667c94e4,2025-08-14 18:30:21.445189+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,228,eld,7,6,1,5,4,3,2
7f659923-2f09-4050-aabd-0d56a8b42d24,2025-08-14 18:30:32.072868+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,227,eld,7,6,3,4,1,2,5
0b495696-f06b-44c5-9f35-e614080e1265,2025-08-14 18:30:41.899476+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,228,eld,7,6,1,5,3,2,4
13cf0547-1ca3-4305-9c4a-0294ca958a22,2025-08-14 18:30:50.940716+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,229,eld,6,7,4,5,1,2,3
c9cec1d1-edc4-4d7a-a014-67e49b28ff33,2025-08-14 18:44:55.047886+00:00,anthropic,claude-3-5-sonnet-20241022,0,3620,230,far,5,6,1,4,2,7,3
7e500033-3cea-42aa-9b60-5f4d4978543b,2025-08-14 18:45:05.038724+00:00,anthropic,claude-3-5-sonnet-20241022,0,3620,229,far,7,6,1,5,4,3,2
07ec2ed4-ec1a-4bf6-ad06-267bfde48653,2025-08-14 18:45:15.458407+00:00,anthropic,claude-3-5-sonnet-20241022,0,3620,230,far,7,6,1,4,2,5,3
da37dad8-aa38-4266-b30d-a6c984adc04e,2025-08-14 18:45:26.854444+00:00,anthropic,claude-3-5-sonnet-20241022,0,3620,230,far,7,6,1,5,3,2,4
9d182fae-989c-490d-b310-add6a5b3749b,2025-08-14 18:45:36.816877+00:00,anthropic,claude-3-5-sonnet-20241022,0,3620,229,far,6,7,3,5,1,2,4
09dafef5-6db3-43ff-8ca8-9118ba1a7263,2025-08-14 18:59:19.225563+00:00,anthropic,claude-3-5-sonnet-20241022,0,3614,228,fis,5,6,1,4,3,7,2
3d00463c-2c45-47ef-8676-9863ee172ad6,2025-08-14 18:59:28.371257+00:00,anthropic,claude-3-5-sonnet-20241022,0,3614,228,fis,7,6,1,5,4,3,2
eb085354-9f01-4b5e-b54d-de23127322a5,2025-08-14 18:59:34.316821+00:00,anthropic,claude-3-5-sonnet-20241022,0,3614,228,fis,7,6,1,4,2,5,3
e7c05842-a246-466b-b111-79d72f651dd6,2025-08-14 18:59:40.156238+00:00,anthropic,claude-3-5-sonnet-20241022,0,3614,228,fis,7,6,1,5,3,2,4
36b07b65-ef68-4809-a177-705a7a53b787,2025-08-14 18:59:45.890660+00:00,anthropic,claude-3-5-sonnet-20241022,0,3614,227,fis,6,7,3,5,1,2,4
22a89feb-3f56-44c9-9604-8bb336f427e8,2025-08-14 19:13:40.120162+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,225,lan,6,7,5,4,3,1,2
bbfe8b2b-d285-4112-8120-6dd715651d87,2025-08-14 19:13:51.083400+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,228,lan,7,6,2,4,5,3,1
edf181c4-97e6-45a4-810a-a763d0090cfa,2025-08-14 19:14:01.013250+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,227,lan,7,6,1,4,2,5,3
13b5fa73-b7bf-4904-9d38-1a8026ddea70,2025-08-14 19:14:09.441483+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,229,lan,7,6,1,5,3,2,4
9a6fe2e9-9e1a-4beb-80ba-54566bec0618,2025-08-14 19:14:16.484439+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,228,lan,7,6,3,5,2,1,4
1ffd0033-b8f8-4d4c-99ee-ab512388bcba,2025-08-14 19:27:33.859101+00:00,anthropic,claude-3-5-sonnet-20241022,0,3632,230,par,5,6,1,4,2,7,3
3c9b923a-7f22-4ccd-95f0-70882b41b611,2025-08-14 19:27:40.580007+00:00,anthropic,claude-3-5-sonnet-20241022,0,3632,230,par,7,6,1,5,4,3,2
9dafdb95-f136-456b-bca9-f940aafafaf9,2025-08-14 19:27:46.971788+00:00,anthropic,claude-3-5-sonnet-20241022,0,3632,231,par,7,6,1,4,2,5,3
e93f9fae-70ca-410b-b184-c3590ca9833e,2025-08-14 19:27:54.001243+00:00,anthropic,claude-3-5-sonnet-20241022,0,3632,228,par,7,6,1,5,3,2,4
5146b2ea-1c7d-4080-be6c-d4938415a9c2,2025-08-14 19:28:01.212480+00:00,anthropic,claude-3-5-sonnet-20241022,0,3632,226,par,6,7,1,5,3,2,4
f74ec17f-c8a2-440d-9be4-998548e8642f,2025-08-15 13:12:08.866397+00:00,anthropic,claude-3-5-sonnet-20241022,0,3614,228,sub,5,6,1,4,2,7,3
87af70ac-d620-45e2-9339-db3df1f49267,2025-08-15 13:12:25.848943+00:00,anthropic,claude-3-5-sonnet-20241022,0,3614,229,sub,2,7,3,1,6,5,4
50392998-82e8-49fb-a90b-e1e54a18ff12,2025-08-15 13:12:34.558773+00:00,anthropic,claude-3-5-sonnet-20241022,0,3614,227,sub,6,5,1,4,2,7,3
ea8a5d87-9cfe-4766-b84a-3f7520bde814,2025-08-15 13:12:42.649823+00:00,anthropic,claude-3-5-sonnet-20241022,0,3614,229,sub,6,7,1,5,4,3,2
6330ca4d-779a-443c-9ea5-c2151c76776d,2025-08-15 13:12:51.966452+00:00,anthropic,claude-3-5-sonnet-20241022,0,3614,228,sub,6,7,1,4,3,2,5
3e1ca3f2-b6c5-4219-a309-e927a5b72cdf,2025-08-15 13:27:37.560065+00:00,anthropic,claude-3-5-sonnet-20241022,0,3629,228,vil,6,7,2,4,3,5,1
897d7f58-ac8c-4106-aaf3-2f80f4af502b,2025-08-15 13:27:49.687060+00:00,anthropic,claude-3-5-sonnet-20241022,0,3629,230,vil,7,6,1,5,4,3,2
bac31c9e-f031-4bca-92d6-ac462b065ddf,2025-08-15 13:28:02.173876+00:00,anthropic,claude-3-5-sonnet-20241022,0,3629,231,vil,7,6,1,4,2,5,3
8a142608-34e2-47a6-97b7-76c041665e79,2025-08-15 13:28:17.502068+00:00,anthropic,claude-3-5-sonnet-20241022,0,3629,231,vil,7,5,1,6,4,2,3
130c9505-cf30-4526-a9d7-822112d49e9b,2025-08-15 13:28:41.265328+00:00,anthropic,claude-3-5-sonnet-20241022,0,3629,229,vil,7,6,1,4,2,3,5
fb1ec320-ee8c-4917-8928-b43c0fbb2bf7,2025-08-15 13:43:15.586767+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,224,csk,1,6,7,5,4,2,3
6eacda52-cf91-439c-ad19-b5d9180e455d,2025-08-15 13:43:25.065821+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,224,csk,3,1,4,6,7,5,2
1bb753b7-8d37-42cc-90c5-3f430c7d301f,2025-08-15 13:43:35.483210+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,229,csk,2,1,6,5,3,7,4
9fd4cce3-fb84-4c01-a487-0bf1d216ce56,2025-08-15 13:43:42.192585+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,228,csk,2,1,7,6,5,4,3
c37543a7-f1ba-4d19-8156-048cf46396df,2025-08-15 13:43:51.065987+00:00,anthropic,claude-3-5-sonnet-20241022,0,3623,224,csk,2,1,7,6,4,5,3
4a7375cf-d940-4527-9de5-c8979c991d84,2025-08-15 14:17:45.728540+00:00,anthropic,claude-3-5-sonnet-20241022,0,3629,226,dis,7,6,1,4,5,2,3
460cadd5-d38f-4fc5-984d-71fae29fb555,2025-08-15 14:19:17.720793+00:00,anthropic,claude-3-5-sonnet-20241022,0,3593,226,eco,7,6,1,4,5,2,3
0e4db514-ff0e-4d07-ba03-eafb6d58e6c8,2025-08-15 14:20:44.536880+00:00,anthropic,claude-3-5-sonnet-20241022,0,3620,229,far,7,6,1,5,4,2,3
8cc21089-48bb-4cb2-9680-35ad5bef809c,2025-08-15 14:22:14.379472+00:00,anthropic,claude-3-5-sonnet-20241022,0,3584,227,fem,7,6,1,5,4,2,3
6409b7f7-abd9-4fdd-8354-e08fd20a0477,2025-08-15 14:23:59.930446+00:00,anthropic,claude-3-5-sonnet-20241022,0,3632,230,par,7,6,2,4,5,1,3
433efc32-d384-490c-9e69-45eb7f1478ba,2025-08-15 14:25:54.004824+00:00,anthropic,claude-3-5-sonnet-20241022,0,3629,230,vil,7,6,2,4,5,1,3
8acbc10f-bc80-4f22-9224-c680f74f0d19,2025-08-15 14:28:01.902356+00:00,anthropic,claude-3-5-sonnet-20241022,0,3614,229,sub,7,6,1,3,5,2,4
